,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,威唐转债,123088,2023-07-18 09:31,125.939,126.05,126.065,125.1,2504,3144320.0,0.77,-0.01,-0.015,0.83
1,威唐转债,123088,2023-07-18 09:32,126.086,126.031,126.458,125.808,1644,2072498.0,0.52,-0.02,-0.019,0.55
2,威唐转债,123088,2023-07-18 09:33,126.023,126.329,126.344,126.023,477,602180.0,0.25,0.24,0.298,0.16
3,威唐转债,123088,2023-07-18 09:34,126.2,126.29,126.349,126.178,562,709590.0,0.14,-0.03,-0.039,0.19
4,威唐转债,123088,2023-07-18 09:35,126.181,126.326,126.484,126.173,973,1228625.0,0.25,0.03,0.036,0.32
5,威唐转债,123088,2023-07-18 09:36,126.187,126.318,126.526,126.167,375,473950.0,0.28,-0.01,-0.008,0.12
6,威唐转债,123088,2023-07-18 09:37,126.327,126.653,126.653,126.327,644,814450.0,0.26,0.27,0.335,0.21
7,威唐转债,123088,2023-07-18 09:38,126.581,126.345,126.648,126.339,268,338887.0,0.24,-0.24,-0.308,0.09
8,威唐转债,123088,2023-07-18 09:39,126.332,126.486,126.486,126.308,554,700414.0,0.14,0.11,0.141,0.18
9,威唐转债,123088,2023-07-18 09:40,126.633,126.809,126.848,126.486,481,609072.0,0.29,0.26,0.323,0.16
10,威唐转债,123088,2023-07-18 09:41,126.793,126.834,126.88,126.705,433,548922.0,0.14,0.02,0.025,0.14
11,威唐转债,123088,2023-07-18 09:42,126.9,127.429,127.521,126.85,1511,1922436.0,0.53,0.47,0.595,0.5
12,威唐转债,123088,2023-07-18 09:43,127.428,127.125,127.613,127.125,1385,1764332.0,0.38,-0.24,-0.304,0.46
13,威唐转债,123088,2023-07-18 09:44,127.266,126.979,127.266,126.926,906,1151694.0,0.27,-0.11,-0.146,0.3
14,威唐转债,123088,2023-07-18 09:45,126.901,126.928,127.02,126.754,474,601360.0,0.21,-0.04,-0.051,0.16
15,威唐转债,123088,2023-07-18 09:46,127.034,127.0,127.125,126.888,476,604358.0,0.19,0.06,0.072,0.16
16,威唐转债,123088,2023-07-18 09:47,127.088,127.1,127.176,127.079,364,462716.0,0.08,0.08,0.1,0.12
17,威唐转债,123088,2023-07-18 09:48,127.1,127.156,127.156,127.03,387,491887.0,0.1,0.04,0.056,0.13
18,威唐转债,123088,2023-07-18 09:49,127.106,127.144,127.16,127.024,341,433401.0,0.11,-0.01,-0.012,0.11
19,威唐转债,123088,2023-07-18 09:50,127.13,127.02,127.23,127.02,555,705696.0,0.17,-0.1,-0.124,0.18
20,威唐转债,123088,2023-07-18 09:51,126.942,126.988,127.0,126.76,967,1227325.0,0.19,-0.03,-0.032,0.32
21,威唐转债,123088,2023-07-18 09:52,127.0,126.891,127.03,126.889,614,779586.0,0.11,-0.08,-0.097,0.2
22,威唐转债,123088,2023-07-18 09:53,126.891,127.0,127.0,126.815,322,408642.0,0.15,0.09,0.109,0.11
23,威唐转债,123088,2023-07-18 09:54,126.9,126.857,126.998,126.844,119,151059.0,0.12,-0.11,-0.143,0.04
24,威唐转债,123088,2023-07-18 09:55,126.9,126.86,126.946,126.77,133,168704.0,0.14,0.0,0.003,0.04
25,威唐转债,123088,2023-07-18 09:56,126.801,126.761,126.801,126.704,290,367640.0,0.08,-0.08,-0.099,0.1
26,威唐转债,123088,2023-07-18 09:57,126.765,126.7,126.857,126.636,116,147006.0,0.17,-0.05,-0.061,0.04
27,威唐转债,123088,2023-07-18 09:58,126.779,126.654,126.78,126.599,250,316712.0,0.14,-0.04,-0.046,0.08
28,威唐转债,123088,2023-07-18 09:59,126.74,126.707,126.781,126.707,294,372712.0,0.06,0.04,0.053,0.1
29,威唐转债,123088,2023-07-18 10:00,126.8,126.698,126.8,126.6,105,132999.0,0.16,-0.01,-0.009,0.03
30,威唐转债,123088,2023-07-18 10:01,126.59,126.479,126.59,126.454,148,187277.0,0.11,-0.17,-0.219,0.05
31,威唐转债,123088,2023-07-18 10:02,126.478,126.458,126.478,126.341,315,398307.0,0.11,-0.02,-0.021,0.1
32,威唐转债,123088,2023-07-18 10:03,126.368,126.388,126.458,126.368,195,246443.0,0.07,-0.06,-0.07,0.06
33,威唐转债,123088,2023-07-18 10:04,126.457,126.565,126.565,126.457,92,116418.0,0.09,0.14,0.177,0.03
34,威唐转债,123088,2023-07-18 10:05,126.558,126.63,126.704,126.499,222,281032.0,0.16,0.05,0.065,0.07
35,威唐转债,123088,2023-07-18 10:06,126.63,126.63,126.63,126.483,182,230377.0,0.12,0.0,0.0,0.06
36,威唐转债,123088,2023-07-18 10:07,126.688,126.69,126.7,126.628,220,278699.0,0.06,0.05,0.06,0.07
37,威唐转债,123088,2023-07-18 10:08,126.69,126.798,126.798,126.644,115,145702.0,0.12,0.09,0.108,0.04
38,威唐转债,123088,2023-07-18 10:09,126.857,126.912,126.954,126.85,168,213163.0,0.08,0.09,0.114,0.06
39,威唐转债,123088,2023-07-18 10:10,126.9,126.913,126.916,126.818,382,484717.0,0.08,0.0,0.001,0.13
40,威唐转债,123088,2023-07-18 10:11,126.818,127.03,127.065,126.818,201,255222.0,0.19,0.09,0.117,0.07
41,威唐转债,123088,2023-07-18 10:12,127.001,127.1,127.131,127.001,369,468916.0,0.1,0.06,0.07,0.12
42,威唐转债,123088,2023-07-18 10:13,127.128,127.199,127.202,127.098,541,687909.0,0.08,0.08,0.099,0.18
43,威唐转债,123088,2023-07-18 10:14,127.199,127.1,127.199,127.023,138,175401.0,0.14,-0.08,-0.099,0.05
44,威唐转债,123088,2023-07-18 10:15,127.1,127.04,127.1,126.957,274,348108.0,0.11,-0.05,-0.06,0.09
45,威唐转债,123088,2023-07-18 10:16,127.159,126.842,127.159,126.798,627,796545.0,0.28,-0.16,-0.198,0.21
46,威唐转债,123088,2023-07-18 10:17,126.798,126.89,126.977,126.798,199,252632.0,0.14,0.04,0.048,0.07
47,威唐转债,123088,2023-07-18 10:18,126.973,127.05,127.05,126.965,2501,3176202.0,0.07,0.13,0.16,0.83
48,威唐转债,123088,2023-07-18 10:19,127.002,127.152,127.204,127.002,206,261882.0,0.16,0.08,0.102,0.07
49,威唐转债,123088,2023-07-18 10:20,127.26,127.2,127.272,127.2,656,834659.0,0.06,0.04,0.048,0.22
50,威唐转债,123088,2023-07-18 10:21,127.271,127.376,127.454,127.271,671,854684.0,0.14,0.14,0.176,0.22
51,威唐转债,123088,2023-07-18 10:22,127.318,127.366,127.38,127.29,396,504220.0,0.07,-0.01,-0.01,0.13
52,威唐转债,123088,2023-07-18 10:23,127.424,127.488,127.58,127.366,494,629828.0,0.17,0.1,0.122,0.16
53,威唐转债,123088,2023-07-18 10:24,127.491,127.421,127.5,127.421,323,411774.0,0.06,-0.05,-0.067,0.11
54,威唐转债,123088,2023-07-18 10:25,127.419,127.414,127.527,127.414,478,609244.0,0.09,-0.01,-0.007,0.16
55,威唐转债,123088,2023-07-18 10:26,127.473,127.508,127.55,127.43,648,826247.0,0.09,0.07,0.094,0.22
56,威唐转债,123088,2023-07-18 10:27,127.555,127.51,127.571,127.46,446,568641.0,0.09,0.0,0.002,0.15
57,威唐转债,123088,2023-07-18 10:28,127.466,127.568,127.587,127.466,462,589235.0,0.09,0.05,0.058,0.15
58,威唐转债,123088,2023-07-18 10:29,127.61,127.402,127.68,127.402,439,560139.0,0.22,-0.13,-0.166,0.15
59,威唐转债,123088,2023-07-18 10:30,127.416,127.285,127.416,127.17,574,730934.0,0.19,-0.09,-0.117,0.19
60,威唐转债,123088,2023-07-18 10:31,127.285,127.296,127.423,127.206,313,398519.0,0.17,0.01,0.011,0.1
61,威唐转债,123088,2023-07-18 10:32,127.24,127.267,127.271,127.2,248,315623.0,0.06,-0.02,-0.029,0.08
62,威唐转债,123088,2023-07-18 10:33,127.325,127.316,127.4,127.23,303,385822.0,0.13,0.04,0.049,0.1
63,威唐转债,123088,2023-07-18 10:34,127.35,127.3,127.382,127.2,120,152738.0,0.14,-0.01,-0.016,0.04
