,债券代码,债券名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
0,128036,金农转债,9.76,172.0,177.7,154.7,156.362,15.3,629.14,4.34,-,915573,1548702536.842,156.7,250306612,250306612,0.128036,深A,2023-07-24 15:35:00,2023-07-24
1,123018,溢利转债,8.49,338.5,345.333,306.908,310.72,26.5,781.51,2.22,-,423082,1405964795.703,312.0,183251376,183251376,0.123018,深A,2023-07-24 15:35:00,2023-07-24
2,128082,华锋转债,7.6,148.166,150.13,145.11,146.8,10.466,248.47,2.87,-,500559,740332077.915,137.7,298494038,298494038,0.128082,深A,2023-07-24 15:34:33,2023-07-24
3,128091,新天转债,6.94,169.5,173.5,161.959,165.8,11.0,309.94,6.41,-,472180,797046902.317,158.5,258221894,258221894,0.128091,深A,2023-07-24 15:34:36,2023-07-24
4,127080,声迅转债,5.85,173.6,174.742,161.793,162.9,9.6,219.18,1.11,-,613512,1044584445.817,164.0,485918205,485918205,0.127080,深A,2023-07-24 15:34:24,2023-07-24
5,113537,文灿转债,4.63,296.843,308.789,288.0,288.0,13.123,674.6,1.49,-,831877,2490971784.0,283.72,366048977,366048977,1.113537,沪A,2023-07-24 16:11:46,2023-07-24
6,128041,盛路转债,4.19,348.0,349.8,330.522,333.0,14.0,207.63,2.63,-,109751,374212540.892,334.0,183950712,183950712,0.128041,深A,2023-07-24 15:35:03,2023-07-24
7,128095,恩捷转债,3.99,151.26,154.0,149.502,154.0,5.81,40.56,1.59,-,183858,278315014.56,145.45,685613328,685613328,0.128095,深A,2023-07-24 15:34:39,2023-07-24
8,123013,横河转债,3.98,442.005,450.0,421.68,425.001,16.905,343.29,4.79,-,130054,573050440.867,425.1,167450500,167450500,0.123013,深A,2023-07-24 15:35:03,2023-07-24
9,123177,测绘转债,2.69,158.25,167.5,157.6,162.0,4.15,420.28,6.41,-,1709223,2767649370.061,154.1,643574423,643574423,0.123177,深A,2023-07-24 15:34:27,2023-07-24
10,118021,新致转债,2.64,231.904,238.459,226.237,227.408,5.968,303.3,1.15,-,1467766,3426822297.0,225.936,1122253259,1122253259,1.118021,沪A,2023-07-24 16:11:07,2023-07-24
11,128025,特一转债,2.18,187.09,194.8,182.252,183.102,3.988,223.75,6.59,-,471990,894795696.77,183.102,394661116,394661116,0.128025,深A,2023-07-24 15:35:03,2023-07-24
12,128079,英联转债,1.79,157.3,158.48,151.713,155.0,2.76,212.59,0.59,-,317149,496530672.181,154.54,234665174,234665174,0.128079,深A,2023-07-24 15:34:33,2023-07-24
13,118019,金盘转债,1.78,139.36,141.225,136.9,136.9,2.443,15.62,0.74,-,152512,212180126.0,136.917,1361101248,1361101248,1.118019,沪A,2023-07-24 16:11:46,2023-07-24
14,123034,通光转债,1.73,234.8,234.8,229.237,230.501,4.0,35.42,0.28,-,27551,64238040.244,230.8,182620631,182620631,0.123034,深A,2023-07-24 15:34:06,2023-07-24
15,123153,英力转债,1.65,117.7,117.762,115.9,116.0,1.916,10.07,1.72,-,34253,40109873.936,115.784,400161874,400161874,0.123153,深A,2023-07-24 15:35:00,2023-07-24
16,123199,山河转债,1.63,132.25,132.858,129.6,129.811,2.12,42.55,1.02,-,136156,179167319.958,130.13,423200000,423200000,0.123199,深A,2023-07-24 15:34:33,2023-07-24
17,123119,康泰转2,1.52,121.49,122.397,119.139,119.139,1.822,7.63,1.17,-,152545,185394122.752,119.668,2429044332,2429044332,0.123119,深A,2023-07-24 15:34:51,2023-07-24
18,118027,宏图转债,1.47,137.163,138.945,134.727,134.81,1.991,4.16,0.68,-,41955,57493314.0,135.172,1383694857,1383694857,1.118027,沪A,2023-07-24 16:11:04,2023-07-24
19,127050,麒麟转债,1.46,138.6,142.49,137.4,142.0,2.0,18.63,5.48,-,409602,569532302.668,136.6,3047608733,3047608733,0.127050,深A,2023-07-24 15:34:27,2023-07-24
20,123067,斯莱转债,1.44,149.124,151.779,146.066,146.6,2.124,34.38,2.02,-,82313,123072501.285,147.0,357005242,357005242,0.123067,深A,2023-07-24 15:34:21,2023-07-24
21,113624,正川转债,1.34,109.324,111.523,107.761,107.846,1.444,24.29,80.84,-,98344,107736335.0,107.88,442659435,442659435,1.113624,沪A,2023-07-24 16:11:13,2023-07-24
22,128030,天康转债,1.29,233.81,234.368,228.0,230.93,2.98,9.08,0.53,-,7215,16828548.067,230.83,185798519,185798519,0.128030,深A,2023-07-24 15:34:09,2023-07-24
23,127029,中钢转债,1.28,196.0,199.397,193.491,194.0,2.47,9.61,1.19,-,73274,144109578.938,193.53,1494801056,1494801056,0.127029,深A,2023-07-24 15:34:51,2023-07-24
24,113594,淳中转债,1.23,134.012,135.98,131.747,132.41,1.626,10.55,1.1,-,31623,42566960.0,132.386,401612522,401612522,1.113594,沪A,2023-07-24 16:11:22,2023-07-24
