,债券代码,债券名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
0,123014,凯发转债,15.03,132.269,135.882,117.38,118.5,17.279,1974.06,122.01,-,2268691,2942580875.474,114.99,152010281,152010281,0.123014,深A,2023-07-10 15:34:18,2023-07-10
1,123046,天铁转债,9.38,501.5,505.0,455.1,455.1,43.02,518.01,1.68,-,302900,1465217375.926,458.48,293247612,293247612,0.123046,深A,2023-07-10 15:34:30,2023-07-10
2,123187,超达转债,8.02,289.99,290.0,266.214,268.45,21.54,174.03,0.77,-,816181,2303771948.463,268.45,1360053100,1360053100,0.123187,深A,2023-07-10 15:34:51,2023-07-10
3,123067,斯莱转债,4.62,160.799,164.38,153.476,154.5,7.099,270.24,5.63,-,646966,1040068138.605,153.7,384963419,384963419,0.123067,深A,2023-07-10 15:34:33,2023-07-10
4,128106,华统转债,4.41,214.0,225.0,208.0,208.0,9.03,231.1,3.94,-,663012,1422461759.328,204.97,613962790,613962790,0.128106,深A,2023-07-10 15:34:18,2023-07-10
5,113593,沪工转债,4.39,117.364,120.44,112.425,112.425,4.939,228.21,248.99,-,912296,1064808285.0,112.425,469186063,469186063,1.113593,沪A,2023-07-10 16:11:21,2023-07-10
6,111013,新港转债,4.0,288.143,299.68,281.051,295.0,11.077,332.07,1.12,-,1225776,3535268973.0,277.066,1063636663,1063636663,1.111013,沪A,2023-07-10 16:11:15,2023-07-10
7,123127,耐普转债,3.07,133.7,138.4,129.421,129.611,3.98,46.33,10.24,-,185227,248199031.42,129.72,534482329,534482329,0.123127,深A,2023-07-10 15:34:18,2023-07-10
8,113604,多伦转债,2.7,117.884,121.0,114.7,115.286,3.098,84.73,50.85,-,541919,636976622.0,114.786,753975454,753975454,1.113604,沪A,2023-07-10 16:11:36,2023-07-10
9,111007,永和转债,2.68,140.171,151.0,136.021,136.1,3.661,220.02,40.9,-,1759945,2554967101.0,136.51,1121234838,1121234838,1.111007,沪A,2023-07-10 16:12:00,2023-07-10
