,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,强力转债,123076,2023-12-08 09:31,114.139,114.632,114.9,114.0,423,484565.0,0.79,0.64,0.732,0.05
1,强力转债,123076,2023-12-08 09:32,114.907,114.838,115.218,114.787,650,747566.0,0.38,0.18,0.206,0.08
2,强力转债,123076,2023-12-08 09:33,115.152,114.81,115.152,114.81,397,456422.0,0.3,-0.02,-0.028,0.05
3,强力转债,123076,2023-12-08 09:34,114.9,115.067,115.152,114.836,351,403749.0,0.28,0.22,0.257,0.04
4,强力转债,123076,2023-12-08 09:35,115.067,115.0,115.2,114.987,951,1094038.0,0.19,-0.06,-0.067,0.11
5,强力转债,123076,2023-12-08 09:36,115.038,115.33,115.35,115.01,279,321292.0,0.3,0.29,0.33,0.03
6,强力转债,123076,2023-12-08 09:37,115.28,115.249,115.298,115.203,519,598062.0,0.08,-0.07,-0.081,0.06
7,强力转债,123076,2023-12-08 09:38,115.301,115.218,115.449,115.218,353,407081.0,0.2,-0.03,-0.031,0.04
8,强力转债,123076,2023-12-08 09:39,115.2,115.018,115.2,115.017,1863,2146125.0,0.16,-0.17,-0.2,0.22
9,强力转债,123076,2023-12-08 09:40,115.143,115.26,115.348,115.143,82,94506.0,0.18,0.21,0.242,0.01
10,强力转债,123076,2023-12-08 09:41,115.335,115.154,115.335,115.154,11,12673.0,0.16,-0.09,-0.106,0.0
11,强力转债,123076,2023-12-08 09:42,115.154,115.057,115.245,115.057,115,132510.0,0.16,-0.08,-0.097,0.01
12,强力转债,123076,2023-12-08 09:43,115.011,115.005,115.015,115.002,89,102364.0,0.01,-0.05,-0.052,0.01
13,强力转债,123076,2023-12-08 09:44,115.0,114.897,115.0,114.895,105,120734.0,0.09,-0.09,-0.108,0.01
14,强力转债,123076,2023-12-08 09:45,114.958,114.8,114.958,114.8,63,72384.0,0.14,-0.08,-0.097,0.01
15,强力转债,123076,2023-12-08 09:46,114.9,114.9,114.952,114.9,290,333218.0,0.05,0.09,0.1,0.03
16,强力转债,123076,2023-12-08 09:47,114.9,114.9,114.9,114.9,44,50556.0,0.0,0.0,0.0,0.01
17,强力转债,123076,2023-12-08 09:48,114.901,115.01,115.02,114.901,336,386332.0,0.1,0.1,0.11,0.04
18,强力转债,123076,2023-12-08 09:49,115.0,115.081,115.081,115.0,61,70152.0,0.07,0.06,0.071,0.01
19,强力转债,123076,2023-12-08 09:50,115.0,115.07,115.07,115.0,28,32205.0,0.06,-0.01,-0.011,0.0
20,强力转债,123076,2023-12-08 09:51,115.07,115.0,115.07,115.0,12,13801.0,0.06,-0.06,-0.07,0.0
21,强力转债,123076,2023-12-08 09:52,115.059,115.01,115.059,115.0,49,56363.0,0.05,0.01,0.01,0.01
22,强力转债,123076,2023-12-08 09:53,115.0,115.0,115.0,115.0,17,19550.0,0.0,-0.01,-0.01,0.0
23,强力转债,123076,2023-12-08 09:54,115.001,115.01,115.01,115.0,4,4600.0,0.01,0.01,0.01,0.0
24,强力转债,123076,2023-12-08 09:55,115.079,115.099,115.1,115.0,107,123136.0,0.09,0.08,0.089,0.01
25,强力转债,123076,2023-12-08 09:56,115.099,115.001,115.122,115.001,96,110432.0,0.11,-0.09,-0.098,0.01
26,强力转债,123076,2023-12-08 09:57,115.01,115.065,115.065,115.0,266,305901.0,0.06,0.06,0.064,0.03
27,强力转债,123076,2023-12-08 09:58,115.0,115.048,115.127,115.0,79,90917.0,0.11,-0.01,-0.017,0.01
28,强力转债,123076,2023-12-08 09:59,115.05,115.049,115.05,115.049,2,2300.0,0.0,0.0,0.001,0.0
29,强力转债,123076,2023-12-08 10:00,115.116,115.004,115.116,115.004,19,21856.0,0.1,-0.04,-0.045,0.0
30,强力转债,123076,2023-12-08 10:01,115.006,115.006,115.006,115.006,2,2300.0,0.0,0.0,0.002,0.0
31,强力转债,123076,2023-12-08 10:02,115.095,115.011,115.095,115.01,7,8052.0,0.07,0.0,0.005,0.0
32,强力转债,123076,2023-12-08 10:03,115.005,115.005,115.005,115.005,15,17251.0,0.0,-0.01,-0.006,0.0
33,强力转债,123076,2023-12-08 10:04,115.005,115.05,115.05,115.005,4,4601.0,0.04,0.04,0.045,0.0
34,强力转债,123076,2023-12-08 10:05,115.005,115.005,115.005,115.005,3,3450.0,0.0,-0.04,-0.045,0.0
35,强力转债,123076,2023-12-08 10:06,115.005,115.055,115.113,115.005,196,225595.0,0.09,0.04,0.05,0.02
36,强力转债,123076,2023-12-08 10:07,115.006,115.006,115.006,115.0,82,94301.0,0.01,-0.04,-0.049,0.01
37,强力转债,123076,2023-12-08 10:08,115.005,115.0,115.029,115.0,132,151800.0,0.03,-0.01,-0.006,0.02
38,强力转债,123076,2023-12-08 10:09,115.0,115.0,115.0,115.0,101,116150.0,0.0,0.0,0.0,0.01
39,强力转债,123076,2023-12-08 10:10,115.0,115.023,115.03,115.0,159,182858.0,0.03,0.02,0.023,0.02
40,强力转债,123076,2023-12-08 10:11,115.0,115.0,115.0,115.0,455,523250.0,0.0,-0.02,-0.023,0.05
41,强力转债,123076,2023-12-08 10:12,114.905,114.905,114.905,114.905,58,66644.0,0.0,-0.08,-0.095,0.01
42,强力转债,123076,2023-12-08 10:13,114.928,114.906,114.928,114.906,2,2298.0,0.02,0.0,0.001,0.0
43,强力转债,123076,2023-12-08 10:14,114.906,114.906,114.906,114.906,3,3447.0,0.0,0.0,0.0,0.0
44,强力转债,123076,2023-12-08 10:15,114.906,114.9,114.906,114.9,71,81581.0,0.01,-0.01,-0.006,0.01
45,强力转债,123076,2023-12-08 10:16,114.9,114.9,114.948,114.9,77,88485.0,0.04,0.0,0.0,0.01
46,强力转债,123076,2023-12-08 10:17,114.929,114.929,114.929,114.929,1,1149.0,0.0,0.03,0.029,0.0
47,强力转债,123076,2023-12-08 10:18,114.91,114.91,114.91,114.91,11,12640.0,0.0,-0.02,-0.019,0.0
48,强力转债,123076,2023-12-08 10:19,114.9,114.9,114.94,114.9,12,13788.0,0.03,-0.01,-0.01,0.0
49,强力转债,123076,2023-12-08 10:20,114.95,114.95,114.95,114.95,1,1149.0,0.0,0.04,0.05,0.0
50,强力转债,123076,2023-12-08 10:21,114.91,114.9,114.915,114.9,44,50558.0,0.01,-0.04,-0.05,0.01
51,强力转债,123076,2023-12-08 10:22,114.9,114.9,114.924,114.9,38,43667.0,0.02,0.0,0.0,0.0
52,强力转债,123076,2023-12-08 10:23,114.9,114.92,114.92,114.9,6,6894.0,0.02,0.02,0.02,0.0
53,强力转债,123076,2023-12-08 10:24,114.91,114.91,114.91,114.91,3,3447.0,0.0,-0.01,-0.01,0.0
54,强力转债,123076,2023-12-08 10:25,114.91,114.91,114.917,114.91,7,8043.0,0.01,0.0,0.0,0.0
55,强力转债,123076,2023-12-08 10:26,114.91,114.93,114.93,114.9,56,64357.0,0.03,0.02,0.02,0.01
56,强力转债,123076,2023-12-08 10:27,114.936,114.9,114.936,114.9,561,644596.0,0.03,-0.03,-0.03,0.07
57,强力转债,123076,2023-12-08 10:28,114.9,114.802,114.9,114.802,133,152804.0,0.09,-0.09,-0.098,0.02
58,强力转债,123076,2023-12-08 10:29,114.802,114.78,114.802,114.78,23,26403.0,0.02,-0.02,-0.022,0.0
59,强力转债,123076,2023-12-08 10:30,114.876,114.876,114.876,114.876,1,1148.0,0.0,0.08,0.096,0.0
60,强力转债,123076,2023-12-08 10:31,114.78,114.78,114.78,114.78,2,2295.0,0.0,-0.08,-0.096,0.0
61,强力转债,123076,2023-12-08 10:32,114.81,114.81,114.81,114.81,1,1148.0,0.0,0.03,0.03,0.0
62,强力转债,123076,2023-12-08 10:33,114.81,114.81,114.81,114.81,0,0.0,0.0,0.0,0.0,0.0
63,强力转债,123076,2023-12-08 10:34,114.81,114.81,114.81,114.81,0,0.0,0.0,0.0,0.0,0.0
64,强力转债,123076,2023-12-08 10:35,114.8,114.75,114.8,114.75,163,187079.0,0.04,-0.05,-0.06,0.02
65,强力转债,123076,2023-12-08 10:36,114.75,114.75,114.75,114.75,22,25245.0,0.0,0.0,0.0,0.0
66,强力转债,123076,2023-12-08 10:37,114.703,114.703,114.703,114.703,1,1147.0,0.0,-0.04,-0.047,0.0
67,强力转债,123076,2023-12-08 10:38,114.705,114.705,114.705,114.705,2,2294.0,0.0,0.0,0.002,0.0
68,强力转债,123076,2023-12-08 10:39,114.703,114.703,114.703,114.703,42,48175.0,0.0,0.0,-0.002,0.0
69,强力转债,123076,2023-12-08 10:40,114.7,114.7,114.7,114.7,50,57350.0,0.0,0.0,-0.003,0.01
70,强力转债,123076,2023-12-08 10:41,114.7,114.7,114.7,114.7,0,0.0,0.0,0.0,0.0,0.0
71,强力转债,123076,2023-12-08 10:42,114.609,114.608,114.609,114.608,184,210879.0,0.0,-0.08,-0.092,0.02
72,强力转债,123076,2023-12-08 10:43,114.605,114.558,114.605,114.558,10,11458.0,0.04,-0.04,-0.05,0.0
73,强力转债,123076,2023-12-08 10:44,114.558,114.603,114.603,114.558,5,5728.0,0.04,0.04,0.045,0.0
74,强力转债,123076,2023-12-08 10:45,114.602,114.558,114.602,114.558,4,4582.0,0.04,-0.04,-0.045,0.0
