,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,中金转债,127020,2023-12-08 09:31,117.91,118.193,118.193,117.91,717,846086.0,0.24,0.21,0.244,0.02
1,中金转债,127020,2023-12-08 09:32,118.19,118.067,118.2,118.038,344,406296.0,0.14,-0.11,-0.126,0.01
2,中金转债,127020,2023-12-08 09:33,118.08,117.973,118.116,117.973,335,395407.0,0.12,-0.08,-0.094,0.01
3,中金转债,127020,2023-12-08 09:34,117.978,118.076,118.076,117.883,208,245532.0,0.16,0.09,0.103,0.01
4,中金转债,127020,2023-12-08 09:35,117.991,118.128,118.128,117.991,69,81472.0,0.12,0.04,0.052,0.0
5,中金转债,127020,2023-12-08 09:36,118.096,118.219,118.286,118.096,337,398192.0,0.16,0.08,0.091,0.01
6,中金转债,127020,2023-12-08 09:37,118.133,118.161,118.22,118.102,239,282504.0,0.1,-0.05,-0.058,0.01
7,中金转债,127020,2023-12-08 09:38,118.289,118.159,118.289,118.131,132,155991.0,0.13,0.0,-0.002,0.0
8,中金转债,127020,2023-12-08 09:39,118.12,118.099,118.17,118.099,138,162994.0,0.06,-0.05,-0.06,0.0
9,中金转债,127020,2023-12-08 09:40,118.1,118.27,118.279,118.08,94,111047.0,0.17,0.14,0.171,0.0
10,中金转债,127020,2023-12-08 09:41,118.265,118.241,118.266,118.158,63,74483.0,0.09,-0.02,-0.029,0.0
11,中金转债,127020,2023-12-08 09:42,118.241,118.266,118.266,118.241,92,108783.0,0.02,0.02,0.025,0.0
12,中金转债,127020,2023-12-08 09:43,118.266,118.309,118.31,118.191,145,171490.0,0.1,0.04,0.043,0.0
13,中金转债,127020,2023-12-08 09:44,118.304,118.157,118.304,118.157,100,118214.0,0.12,-0.13,-0.152,0.0
14,中金转债,127020,2023-12-08 09:45,118.18,118.133,118.18,118.13,95,112258.0,0.04,-0.02,-0.024,0.0
15,中金转债,127020,2023-12-08 09:46,118.106,118.068,118.106,118.02,210,248026.0,0.07,-0.06,-0.065,0.01
16,中金转债,127020,2023-12-08 09:47,118.172,118.164,118.172,118.041,32,37809.0,0.11,0.08,0.096,0.0
17,中金转债,127020,2023-12-08 09:48,118.164,118.04,118.164,118.04,20,23610.0,0.1,-0.1,-0.124,0.0
18,中金转债,127020,2023-12-08 09:49,118.139,118.155,118.155,118.139,12,14176.0,0.01,0.1,0.115,0.0
19,中金转债,127020,2023-12-08 09:50,118.155,118.051,118.155,118.051,25,29536.0,0.09,-0.09,-0.104,0.0
20,中金转债,127020,2023-12-08 09:51,118.075,118.05,118.154,118.05,40,47228.0,0.09,0.0,-0.001,0.0
21,中金转债,127020,2023-12-08 09:52,118.119,117.95,118.119,117.95,75,88505.0,0.14,-0.08,-0.1,0.0
22,中金转债,127020,2023-12-08 09:53,117.978,118.1,118.106,117.978,33,38947.0,0.11,0.13,0.15,0.0
23,中金转债,127020,2023-12-08 09:54,117.98,117.95,117.98,117.95,38,44830.0,0.03,-0.13,-0.15,0.0
24,中金转债,127020,2023-12-08 09:55,117.88,118.051,118.065,117.861,73,86066.0,0.17,0.09,0.101,0.0
25,中金转债,127020,2023-12-08 09:56,117.86,117.823,117.861,117.8,96,113110.0,0.05,-0.19,-0.228,0.0
26,中金转债,127020,2023-12-08 09:57,117.848,117.849,117.94,117.812,50,58953.0,0.11,0.02,0.026,0.0
27,中金转债,127020,2023-12-08 09:58,117.85,117.813,117.93,117.813,31,36539.0,0.1,-0.03,-0.036,0.0
28,中金转债,127020,2023-12-08 09:59,117.926,117.898,117.926,117.814,61,71922.0,0.1,0.07,0.085,0.0
29,中金转债,127020,2023-12-08 10:00,117.898,117.999,117.999,117.898,114,134437.0,0.09,0.09,0.101,0.0
30,中金转债,127020,2023-12-08 10:01,117.998,118.13,118.13,117.997,153,180573.0,0.11,0.11,0.131,0.01
31,中金转债,127020,2023-12-08 10:02,118.052,118.109,118.109,118.0,280,330423.0,0.09,-0.02,-0.021,0.01
32,中金转债,127020,2023-12-08 10:03,118.109,118.06,118.11,118.042,11,12987.0,0.06,-0.04,-0.049,0.0
33,中金转债,127020,2023-12-08 10:04,118.109,118.11,118.11,118.1,13,15354.0,0.01,0.04,0.05,0.0
