,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,会通转债,118028,2023-07-03 09:31,123.26,124.353,124.7,123.26,762,945834.0,1.17,0.77,0.953,0.09
1,会通转债,118028,2023-07-03 09:32,124.515,124.769,124.946,124.515,828,1033100.0,0.35,0.33,0.416,0.1
2,会通转债,118028,2023-07-03 09:33,124.792,125.24,125.25,124.789,2270,2837809.0,0.37,0.38,0.471,0.27
3,会通转债,118028,2023-07-03 09:34,125.243,124.877,125.289,124.755,1378,1722502.0,0.43,-0.29,-0.363,0.17
4,会通转债,118028,2023-07-03 09:35,124.81,125.029,125.265,124.661,529,660514.0,0.48,0.12,0.152,0.06
5,会通转债,118028,2023-07-03 09:36,125.027,124.957,125.064,124.82,398,497182.0,0.2,-0.06,-0.072,0.05
6,会通转债,118028,2023-07-03 09:37,124.914,124.597,124.914,124.539,284,354057.0,0.3,-0.29,-0.36,0.03
7,会通转债,118028,2023-07-03 09:38,124.6,124.736,124.736,124.501,169,210633.0,0.19,0.11,0.139,0.02
8,会通转债,118028,2023-07-03 09:39,124.83,124.742,125.109,124.741,558,696725.0,0.3,0.0,0.006,0.07
9,会通转债,118028,2023-07-03 09:40,124.827,124.864,124.934,124.762,79,98629.0,0.14,0.1,0.122,0.01
10,会通转债,118028,2023-07-03 09:41,124.901,124.68,124.901,124.68,350,436625.0,0.18,-0.15,-0.184,0.04
11,会通转债,118028,2023-07-03 09:42,124.594,124.599,124.67,124.454,119,148221.0,0.17,-0.06,-0.081,0.01
12,会通转债,118028,2023-07-03 09:43,124.661,124.647,124.663,124.549,338,421162.0,0.09,0.04,0.048,0.04
13,会通转债,118028,2023-07-03 09:44,124.666,124.674,124.88,124.588,366,456352.0,0.23,0.02,0.027,0.04
14,会通转债,118028,2023-07-03 09:45,124.516,124.497,124.642,124.381,294,365965.0,0.21,-0.14,-0.177,0.04
15,会通转债,118028,2023-07-03 09:46,124.485,124.442,124.79,124.437,955,1189335.0,0.28,-0.04,-0.055,0.12
16,会通转债,118028,2023-07-03 09:47,124.24,124.4,124.4,124.223,2028,2521894.0,0.14,-0.03,-0.042,0.24
17,会通转债,118028,2023-07-03 09:48,124.544,124.544,124.764,124.371,553,688361.0,0.32,0.12,0.144,0.07
18,会通转债,118028,2023-07-03 09:49,124.394,124.378,124.464,124.27,899,1118017.0,0.16,-0.13,-0.166,0.11
19,会通转债,118028,2023-07-03 09:50,124.355,124.504,124.618,124.355,227,282611.0,0.21,0.1,0.126,0.03
20,会通转债,118028,2023-07-03 09:51,124.433,124.519,124.598,124.433,240,298853.0,0.13,0.01,0.015,0.03
21,会通转债,118028,2023-07-03 09:52,124.5,124.558,124.746,124.492,98,122052.0,0.2,0.03,0.039,0.01
22,会通转债,118028,2023-07-03 09:53,124.558,124.661,124.69,124.558,92,114671.0,0.11,0.08,0.103,0.01
23,会通转债,118028,2023-07-03 09:54,124.731,124.704,124.761,124.678,122,152162.0,0.07,0.03,0.043,0.01
24,会通转债,118028,2023-07-03 09:55,124.688,124.778,124.782,124.688,65,81088.0,0.08,0.06,0.074,0.01
25,会通转债,118028,2023-07-03 09:56,124.76,124.7,124.797,124.7,128,159668.0,0.08,-0.06,-0.078,0.02
26,会通转债,118028,2023-07-03 09:57,124.731,124.687,124.744,124.687,203,253159.0,0.05,-0.01,-0.013,0.02
27,会通转债,118028,2023-07-03 09:58,124.613,124.679,124.731,124.579,68,84752.0,0.12,-0.01,-0.008,0.01
28,会通转债,118028,2023-07-03 09:59,124.682,124.776,124.819,124.678,88,109788.0,0.11,0.08,0.097,0.01
29,会通转债,118028,2023-07-03 10:00,124.777,124.703,124.848,124.703,97,121007.0,0.12,-0.06,-0.073,0.01
30,会通转债,118028,2023-07-03 10:01,124.691,124.591,124.739,124.563,265,330209.0,0.14,-0.09,-0.112,0.03
31,会通转债,118028,2023-07-03 10:02,124.54,124.581,124.633,124.502,202,251564.0,0.11,-0.01,-0.01,0.02
32,会通转债,118028,2023-07-03 10:03,124.546,124.601,124.633,124.514,39,48579.0,0.1,0.02,0.02,0.0
33,会通转债,118028,2023-07-03 10:04,124.613,124.571,124.613,124.569,48,59805.0,0.04,-0.02,-0.03,0.01
34,会通转债,118028,2023-07-03 10:05,124.557,124.437,124.557,124.437,154,191731.0,0.1,-0.11,-0.134,0.02
35,会通转债,118028,2023-07-03 10:06,124.3,124.384,124.404,124.3,66,82077.0,0.08,-0.04,-0.053,0.01
36,会通转债,118028,2023-07-03 10:07,124.384,124.426,124.426,124.3,200,248681.0,0.1,0.03,0.042,0.02
37,会通转债,118028,2023-07-03 10:08,124.42,124.365,124.435,124.345,42,52249.0,0.07,-0.05,-0.061,0.01
38,会通转债,118028,2023-07-03 10:09,124.351,124.341,124.351,124.341,58,72118.0,0.01,-0.02,-0.024,0.01
39,会通转债,118028,2023-07-03 10:10,124.264,124.301,124.431,124.264,143,177827.0,0.13,-0.03,-0.04,0.02
