,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,大丰转债,113530,2023-08-28 09:31,127.1,129.054,132.327,127.1,1512,1967027.0,4.18,3.08,3.862,0.24
1,大丰转债,113530,2023-08-28 09:32,128.948,128.578,129.0,128.552,725,934319.0,0.35,-0.37,-0.476,0.12
2,大丰转债,113530,2023-08-28 09:33,128.875,128.682,129.302,128.588,1225,1579791.0,0.56,0.08,0.104,0.19
3,大丰转债,113530,2023-08-28 09:34,128.682,128.963,129.073,128.568,1039,1338191.0,0.39,0.22,0.281,0.16
4,大丰转债,113530,2023-08-28 09:35,128.865,129.226,129.362,128.865,495,639135.0,0.39,0.2,0.263,0.08
5,大丰转债,113530,2023-08-28 09:36,129.276,128.929,129.528,128.927,815,1053651.0,0.47,-0.23,-0.297,0.13
6,大丰转债,113530,2023-08-28 09:37,129.005,128.535,129.033,128.535,455,585982.0,0.39,-0.31,-0.394,0.07
7,大丰转债,113530,2023-08-28 09:38,128.519,128.736,128.736,128.174,668,858442.0,0.44,0.16,0.201,0.11
8,大丰转债,113530,2023-08-28 09:39,128.732,128.587,128.826,128.498,548,704954.0,0.25,-0.12,-0.149,0.09
9,大丰转债,113530,2023-08-28 09:40,128.588,128.301,128.588,128.276,416,534258.0,0.24,-0.22,-0.286,0.07
10,大丰转债,113530,2023-08-28 09:41,128.6,128.024,128.6,128.024,557,714427.0,0.45,-0.22,-0.277,0.09
11,大丰转债,113530,2023-08-28 09:42,128.109,128.11,128.216,128.039,413,529030.0,0.14,0.07,0.086,0.07
12,大丰转债,113530,2023-08-28 09:43,128.084,127.982,128.084,127.88,381,487698.0,0.16,-0.1,-0.128,0.06
13,大丰转债,113530,2023-08-28 09:44,128.0,127.894,128.09,127.776,294,376371.0,0.25,-0.07,-0.088,0.05
14,大丰转债,113530,2023-08-28 09:45,127.807,127.611,127.974,127.611,466,595887.0,0.28,-0.22,-0.283,0.07
15,大丰转债,113530,2023-08-28 09:46,127.492,127.438,127.697,127.199,365,465058.0,0.39,-0.14,-0.173,0.06
16,大丰转债,113530,2023-08-28 09:47,127.608,127.998,127.998,127.507,159,202891.0,0.39,0.44,0.56,0.03
17,大丰转债,113530,2023-08-28 09:48,127.936,127.496,127.936,127.481,239,305124.0,0.36,-0.39,-0.502,0.04
18,大丰转债,113530,2023-08-28 09:49,127.591,128.041,128.041,127.591,402,513760.0,0.35,0.43,0.545,0.06
19,大丰转债,113530,2023-08-28 09:50,128.073,128.28,128.298,127.791,722,924822.0,0.4,0.19,0.239,0.11
20,大丰转债,113530,2023-08-28 09:51,128.321,128.259,128.905,128.106,851,1092456.0,0.62,-0.02,-0.021,0.14
21,大丰转债,113530,2023-08-28 09:52,128.215,128.905,129.375,128.215,1532,1976112.0,0.9,0.5,0.646,0.24
22,大丰转债,113530,2023-08-28 09:53,128.942,128.716,129.277,128.705,993,1280516.0,0.44,-0.15,-0.189,0.16
23,大丰转债,113530,2023-08-28 09:54,128.77,128.9,128.99,128.77,982,1265455.0,0.17,0.14,0.184,0.16
24,大丰转债,113530,2023-08-28 09:55,128.903,128.775,128.903,128.727,227,292325.0,0.14,-0.1,-0.125,0.04
25,大丰转债,113530,2023-08-28 09:56,128.775,128.741,128.85,128.51,433,556944.0,0.26,-0.03,-0.034,0.07
26,大丰转债,113530,2023-08-28 09:57,128.804,128.632,128.982,128.628,271,348971.0,0.27,-0.08,-0.109,0.04
27,大丰转债,113530,2023-08-28 09:58,128.695,128.868,128.953,128.695,147,189352.0,0.2,0.18,0.236,0.02
28,大丰转债,113530,2023-08-28 09:59,128.923,128.31,128.923,128.31,569,731892.0,0.48,-0.43,-0.558,0.09
29,大丰转债,113530,2023-08-28 10:00,128.363,128.067,128.363,128.015,204,261364.0,0.27,-0.19,-0.243,0.03
30,大丰转债,113530,2023-08-28 10:01,128.19,128.235,128.235,128.037,111,142144.0,0.15,0.13,0.168,0.02
31,大丰转债,113530,2023-08-28 10:02,128.273,128.409,128.424,128.273,109,139885.0,0.12,0.14,0.174,0.02
32,大丰转债,113530,2023-08-28 10:03,128.415,128.32,128.5,128.32,352,452216.0,0.14,-0.07,-0.089,0.06
33,大丰转债,113530,2023-08-28 10:04,128.36,128.363,128.41,128.322,79,101398.0,0.07,0.03,0.043,0.01
34,大丰转债,113530,2023-08-28 10:05,128.338,128.363,128.363,128.263,146,187307.0,0.08,0.0,0.0,0.02
35,大丰转债,113530,2023-08-28 10:06,128.319,128.282,128.352,128.23,115,147544.0,0.1,-0.06,-0.081,0.02
36,大丰转债,113530,2023-08-28 10:07,128.373,128.425,128.425,128.365,46,59062.0,0.05,0.11,0.143,0.01
37,大丰转债,113530,2023-08-28 10:08,128.357,128.491,128.491,128.357,178,228686.0,0.1,0.05,0.066,0.03
38,大丰转债,113530,2023-08-28 10:09,128.5,128.447,128.5,128.368,204,262072.0,0.1,-0.03,-0.044,0.03
39,大丰转债,113530,2023-08-28 10:10,128.331,128.5,128.5,128.26,133,170795.0,0.19,0.04,0.053,0.02
40,大丰转债,113530,2023-08-28 10:11,128.414,128.443,128.5,128.381,611,785061.0,0.09,-0.04,-0.057,0.1
41,大丰转债,113530,2023-08-28 10:12,128.41,128.553,128.6,128.41,615,790271.0,0.15,0.09,0.11,0.1
42,大丰转债,113530,2023-08-28 10:13,128.444,128.379,128.444,128.182,385,494078.0,0.2,-0.14,-0.174,0.06
43,大丰转债,113530,2023-08-28 10:14,128.329,128.101,128.329,128.082,87,111476.0,0.19,-0.22,-0.278,0.01
44,大丰转债,113530,2023-08-28 10:15,128.09,128.18,128.24,128.09,247,316577.0,0.12,0.06,0.079,0.04
45,大丰转债,113530,2023-08-28 10:16,128.155,128.202,128.217,128.151,83,106372.0,0.05,0.02,0.022,0.01
46,大丰转债,113530,2023-08-28 10:17,128.16,128.127,128.201,128.01,301,385725.0,0.15,-0.06,-0.075,0.05
47,大丰转债,113530,2023-08-28 10:18,128.208,128.357,128.357,128.135,104,133355.0,0.17,0.18,0.23,0.02
48,大丰转债,113530,2023-08-28 10:19,128.371,128.281,128.391,128.232,89,114179.0,0.12,-0.06,-0.076,0.01
49,大丰转债,113530,2023-08-28 10:20,128.328,128.393,128.49,128.328,251,322284.0,0.13,0.09,0.112,0.04
50,大丰转债,113530,2023-08-28 10:21,128.311,128.3,128.413,128.268,294,377289.0,0.11,-0.07,-0.093,0.05
51,大丰转债,113530,2023-08-28 10:22,128.229,128.02,128.229,128.0,143,183203.0,0.18,-0.22,-0.28,0.02
52,大丰转债,113530,2023-08-28 10:23,128.053,128.0,128.121,128.0,216,276675.0,0.09,-0.02,-0.02,0.03
53,大丰转债,113530,2023-08-28 10:24,127.841,127.687,127.848,127.666,124,158414.0,0.14,-0.24,-0.313,0.02
54,大丰转债,113530,2023-08-28 10:25,127.811,127.942,127.965,127.713,162,207168.0,0.2,0.2,0.255,0.03
55,大丰转债,113530,2023-08-28 10:26,127.955,128.17,128.275,127.878,335,428868.0,0.31,0.18,0.228,0.05
56,大丰转债,113530,2023-08-28 10:27,128.174,128.23,128.3,128.174,293,375710.0,0.1,0.05,0.06,0.05
57,大丰转债,113530,2023-08-28 10:28,128.18,128.259,128.413,128.127,282,361778.0,0.22,0.02,0.029,0.04
58,大丰转债,113530,2023-08-28 10:29,128.371,128.356,128.382,128.272,167,214243.0,0.09,0.08,0.097,0.03
59,大丰转债,113530,2023-08-28 10:30,128.355,128.23,128.447,127.927,918,1178387.0,0.41,-0.1,-0.126,0.15
60,大丰转债,113530,2023-08-28 10:31,128.233,128.235,128.347,128.233,89,114166.0,0.09,0.0,0.005,0.01
61,大丰转债,113530,2023-08-28 10:32,128.272,128.299,128.413,128.272,285,365763.0,0.11,0.05,0.064,0.05
62,大丰转债,113530,2023-08-28 10:33,128.313,128.051,128.413,128.051,640,821566.0,0.28,-0.19,-0.248,0.1
63,大丰转债,113530,2023-08-28 10:34,128.128,127.947,128.191,127.945,195,249740.0,0.19,-0.08,-0.104,0.03
64,大丰转债,113530,2023-08-28 10:35,127.946,127.937,127.946,127.838,32,40932.0,0.08,-0.01,-0.01,0.01
65,大丰转债,113530,2023-08-28 10:36,127.838,127.857,127.857,127.678,255,325782.0,0.14,-0.06,-0.08,0.04
