,债券代码,债券名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
0,123012,万顺转债,10.35,190.899,190.899,174.0,174.0,17.899,722.71,7.55,-,881472,1591877816.085,173.0,232833974,232833974,0.123012,深A,2023-11-23 15:34:06,2023-11-23
1,113575,东时转债,6.38,210.307,213.266,180.5,195.975,12.621,1034.03,2.48,-,1015721,2041342914.0,197.686,206582463,206582463,1.113575,沪A,2023-11-23 16:11:49,2023-11-23
2,123226,中富转债,5.03,183.8,187.63,172.0,176.0,8.8,134.61,0.78,-,699961,1272368116.489,175.0,955760000,955760000,0.123226,深A,2023-11-23 15:34:06,2023-11-23
3,128025,特一转债,4.96,209.928,228.7,209.512,219.0,9.928,1512.08,4.0,-,1426643,3115449537.584,200.0,198066858,198066858,0.128025,深A,2023-11-23 15:35:00,2023-11-23
4,128118,瀛通转债,4.28,117.0,117.495,112.043,112.438,4.8,54.64,34.31,-,163668,188625276.188,112.2,350480637,350480637,0.128118,深A,2023-11-23 15:34:42,2023-11-23
5,123217,富仕转债,3.82,127.901,131.2,122.0,123.501,4.702,8.78,7.48,-,50071,63630171.13,123.199,729035700,729035700,0.123217,深A,2023-11-23 15:35:03,2023-11-23
6,127080,声迅转债,3.74,159.84,162.77,152.268,153.736,5.764,68.77,14.24,-,192481,308011187.352,154.076,447370422,447370422,0.127080,深A,2023-11-23 15:34:54,2023-11-23
7,113535,大业转债,3.61,150.925,151.159,142.18,145.29,5.265,212.97,0.49,-,467082,689005003.0,145.66,331012936,331012936,1.113535,沪A,2023-11-23 16:11:19,2023-11-23
8,127065,瑞鹄转债,3.51,222.001,226.842,212.535,212.535,7.518,284.1,4.42,-,530894,1179235796.162,214.483,414856599,414856599,0.127065,深A,2023-11-23 15:34:42,2023-11-23
9,123219,宇瞳转债,3.31,129.0,129.08,124.594,125.12,4.13,5.71,2.75,-,34237,43542830.732,124.87,774000000,774000000,0.123219,深A,2023-11-23 15:34:57,2023-11-23
10,123044,红相转债,3.15,108.0,108.95,105.7,106.62,3.301,30.25,9.69,-,166255,177945929.34,104.699,593541540,593541540,0.123044,深A,2023-11-23 15:34:21,2023-11-23
11,110044,广电转债,3.08,260.724,263.0,242.87,252.4,7.783,390.44,0.67,-,275929,709035553.0,252.941,184256258,184256258,1.110044,沪A,2023-11-23 16:11:13,2023-11-23
12,123129,锦鸡转债,2.97,145.7,146.888,138.781,140.6,4.2,162.96,0.78,-,368639,529467732.275,141.5,329600937,329600937,0.123129,深A,2023-11-23 15:34:45,2023-11-23
13,118017,深科转债,2.7,139.979,140.636,134.59,136.48,3.675,20.34,0.84,-,73239,101346061.0,136.304,503921600,503921600,1.118017,沪A,2023-11-23 16:11:07,2023-11-23
14,113588,润达转债,2.68,185.362,187.794,175.6,180.444,4.843,280.67,1.48,-,938326,1723278666.0,180.519,619703351,619703351,1.113588,沪A,2023-11-23 16:11:34,2023-11-23
15,113674,华设转债,2.55,124.187,124.86,119.403,121.414,3.087,6.55,3.07,-,26209,32241393.0,121.1,496748000,496748000,1.113674,沪A,2023-11-23 16:11:16,2023-11-23
16,111007,永和转债,2.54,128.208,129.421,126.0,126.0,3.179,32.22,9.84,-,257623,329318145.0,125.029,1025159502,1025159502,1.111007,沪A,2023-11-23 16:11:34,2023-11-23
