,债券代码,债券名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
0,113537,文灿转债,14.49,339.85,355.199,301.1,310.0,43.007,1613.9,2.88,-,1990160,6544868424.0,296.843,419082629,419082629,1.113537,沪A,2023-07-25 16:11:04,2023-07-25
1,128056,今飞转债,9.45,146.543,152.0,134.501,134.9,12.65,1084.11,88.96,-,1864156,2735665684.093,133.893,251985524,251985524,0.128056,深A,2023-07-25 15:34:21,2023-07-25
2,113025,明泰转债,8.95,200.628,206.0,185.0,186.141,16.484,118.16,9.95,-,1162953,2297177480.0,184.144,1974556701,1974556701,1.113025,沪A,2023-07-25 16:11:55,2023-07-25
3,127063,贵轮转债,7.21,164.0,164.5,155.678,156.2,11.031,34.51,3.38,-,549610,884916881.409,152.969,2612202660,2612202660,0.127063,深A,2023-07-25 15:34:48,2023-07-25
4,123018,溢利转债,6.5,360.5,401.0,327.332,335.67,22.0,1074.39,2.19,-,581636,2095703249.878,338.5,195161362,195161362,0.123018,深A,2023-07-25 15:34:51,2023-07-25
5,128111,中矿转债,5.69,489.307,496.666,470.0,470.88,26.349,257.88,4.03,-,283459,1376306862.21,462.958,537834511,537834511,0.128111,深A,2023-07-25 15:34:09,2023-07-25
6,127065,瑞鹄转债,5.67,195.8,200.7,187.3,187.5,10.499,212.75,3.38,-,934154,1828212150.168,185.301,859716878,859716878,0.127065,深A,2023-07-25 15:35:03,2023-07-25
7,123052,飞鹿转债,5.09,151.9,151.944,144.2,144.937,7.351,52.79,8.3,-,79344,118168513.592,144.549,228294915,228294915,0.123052,深A,2023-07-25 15:35:03,2023-07-25
8,127029,中钢转债,4.95,205.702,208.453,198.867,199.6,9.702,32.08,3.65,-,244634,498953155.037,196.0,1568793708,1568793708,0.127029,深A,2023-07-25 15:34:33,2023-07-25
9,127014,北方转债,4.86,221.459,222.9,213.0,214.067,10.259,61.62,2.65,-,328992,721460706.475,211.2,1182308700,1182308700,0.127014,深A,2023-07-25 15:34:15,2023-07-25
10,113626,伯特转债,4.71,254.394,257.96,244.21,250.0,11.436,38.22,2.35,-,298352,755542387.0,242.958,1985708745,1985708745,1.113626,沪A,2023-07-25 16:11:07,2023-07-25
11,128095,恩捷转债,4.48,158.029,159.3,152.0,152.769,6.769,53.52,1.84,-,242605,379489888.685,151.26,716290305,716290305,0.128095,深A,2023-07-25 15:35:03,2023-07-25
12,113598,法兰转债,3.83,157.778,158.67,152.6,152.9,5.825,25.34,3.03,-,69731,109317498.0,151.953,434255072,434255072,1.113598,沪A,2023-07-25 16:11:27,2023-07-25
13,113654,永02转债,3.75,134.772,136.385,130.8,130.8,4.872,9.46,3.03,-,57753,77796086.0,129.9,822738585,822738585,1.113654,沪A,2023-07-25 16:11:40,2023-07-25
14,127036,三花转债,3.7,132.822,133.2,128.609,130.081,4.734,28.46,1.81,-,281769,371453652.982,128.088,1314913626,1314913626,0.127036,深A,2023-07-25 15:34:42,2023-07-25
15,113615,金诚转债,3.63,291.624,294.42,280.665,284.0,10.218,16.93,1.74,-,129332,373357432.0,281.406,2227476604,2227476604,1.113615,沪A,2023-07-25 16:11:04,2023-07-25
16,127069,小熊转债,3.55,146.0,146.44,141.5,141.5,5.0,29.59,2.4,-,149274,215735812.203,141.0,736474516,736474516,0.127069,深A,2023-07-25 15:34:54,2023-07-25
17,123177,测绘转债,3.53,163.841,163.841,156.501,156.541,5.591,228.52,1.63,-,929355,1495625831.046,158.25,666312019,666312019,0.123177,深A,2023-07-25 15:35:00,2023-07-25
