,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,白电转债,113549,2023-10-27 09:31,125.0,126.96,127.104,124.86,1971,2475334.0,1.79,1.42,1.781,0.25
1,白电转债,113549,2023-10-27 09:32,127.059,126.196,127.399,125.994,2238,2836607.0,1.11,-0.6,-0.764,0.28
2,白电转债,113549,2023-10-27 09:33,126.127,125.949,126.276,125.862,1499,1889712.0,0.33,-0.2,-0.247,0.19
3,白电转债,113549,2023-10-27 09:34,125.898,126.227,126.436,125.855,4323,5453213.0,0.46,0.22,0.278,0.54
4,白电转债,113549,2023-10-27 09:35,126.254,126.091,126.353,125.803,2041,2573419.0,0.44,-0.11,-0.136,0.25
5,白电转债,113549,2023-10-27 09:36,126.09,126.352,126.355,125.961,1437,1811897.0,0.31,0.21,0.261,0.18
6,白电转债,113549,2023-10-27 09:37,126.563,127.225,128.0,126.563,5289,6742282.0,1.14,0.69,0.873,0.66
7,白电转债,113549,2023-10-27 09:38,126.945,127.066,127.696,126.76,6247,7947084.0,0.74,-0.12,-0.159,0.78
8,白电转债,113549,2023-10-27 09:39,127.0,126.817,127.032,126.434,2468,3129351.0,0.47,-0.2,-0.249,0.31
9,白电转债,113549,2023-10-27 09:40,126.819,126.558,126.819,126.377,2325,2941857.0,0.35,-0.2,-0.259,0.29
10,白电转债,113549,2023-10-27 09:41,126.558,126.527,126.61,126.463,1048,1326411.0,0.12,-0.02,-0.031,0.13
11,白电转债,113549,2023-10-27 09:42,126.552,126.4,126.592,126.4,683,863977.0,0.15,-0.1,-0.127,0.08
12,白电转债,113549,2023-10-27 09:43,126.411,126.193,126.411,126.193,798,1007748.0,0.17,-0.16,-0.207,0.1
13,白电转债,113549,2023-10-27 09:44,126.284,126.319,126.319,126.188,722,911381.0,0.1,0.1,0.126,0.09
14,白电转债,113549,2023-10-27 09:45,126.342,126.46,126.46,126.179,887,1120534.0,0.22,0.11,0.141,0.11
15,白电转债,113549,2023-10-27 09:46,126.444,126.495,126.553,126.33,861,1088843.0,0.18,0.03,0.035,0.11
16,白电转债,113549,2023-10-27 09:47,126.481,126.553,126.553,126.381,715,904096.0,0.14,0.05,0.058,0.09
17,白电转债,113549,2023-10-27 09:48,126.579,126.195,126.595,126.195,793,1002252.0,0.32,-0.28,-0.358,0.1
18,白电转债,113549,2023-10-27 09:49,126.253,126.289,126.343,126.112,569,718154.0,0.18,0.07,0.094,0.07
19,白电转债,113549,2023-10-27 09:50,126.375,126.31,126.435,126.248,825,1042097.0,0.15,0.02,0.021,0.1
20,白电转债,113549,2023-10-27 09:51,126.265,126.132,126.349,126.132,416,525263.0,0.17,-0.14,-0.178,0.05
21,白电转债,113549,2023-10-27 09:52,126.17,126.185,126.26,126.06,1139,1435878.0,0.16,0.04,0.053,0.14
22,白电转债,113549,2023-10-27 09:53,126.282,126.131,126.282,126.087,341,430240.0,0.15,-0.04,-0.054,0.04
23,白电转债,113549,2023-10-27 09:54,126.191,126.25,126.256,126.075,400,504756.0,0.14,0.09,0.119,0.05
24,白电转债,113549,2023-10-27 09:55,126.2,126.376,126.431,126.2,438,553236.0,0.18,0.1,0.126,0.05
25,白电转债,113549,2023-10-27 09:56,126.411,126.267,126.411,126.247,273,344943.0,0.13,-0.09,-0.109,0.03
26,白电转债,113549,2023-10-27 09:57,126.247,125.813,126.247,125.805,732,922377.0,0.35,-0.36,-0.454,0.09
27,白电转债,113549,2023-10-27 09:58,125.809,125.952,125.952,125.809,461,580410.0,0.11,0.11,0.139,0.06
28,白电转债,113549,2023-10-27 09:59,126.047,126.091,126.14,125.997,331,417346.0,0.11,0.11,0.139,0.04
29,白电转债,113549,2023-10-27 10:00,126.001,125.868,126.127,125.868,431,543125.0,0.21,-0.18,-0.223,0.05
30,白电转债,113549,2023-10-27 10:01,125.868,126.176,126.185,125.868,756,953567.0,0.25,0.24,0.308,0.09
31,白电转债,113549,2023-10-27 10:02,126.279,126.339,126.437,126.279,846,1068941.0,0.13,0.13,0.163,0.11
32,白电转债,113549,2023-10-27 10:03,126.341,126.233,126.341,126.169,922,1163966.0,0.14,-0.08,-0.106,0.11
33,白电转债,113549,2023-10-27 10:04,126.295,126.299,126.4,126.16,723,913039.0,0.19,0.05,0.066,0.09
34,白电转债,113549,2023-10-27 10:05,126.371,126.36,126.371,126.255,490,618951.0,0.09,0.05,0.061,0.06
35,白电转债,113549,2023-10-27 10:06,126.342,126.288,126.383,126.288,358,452350.0,0.08,-0.06,-0.072,0.04
36,白电转债,113549,2023-10-27 10:07,126.288,126.108,126.288,126.063,1038,1309743.0,0.18,-0.14,-0.18,0.13
37,白电转债,113549,2023-10-27 10:08,126.113,126.111,126.155,126.043,207,261048.0,0.09,0.0,0.003,0.03
38,白电转债,113549,2023-10-27 10:09,126.081,126.166,126.167,126.005,433,545940.0,0.13,0.04,0.055,0.05
39,白电转债,113549,2023-10-27 10:10,126.17,126.073,126.26,126.021,260,327908.0,0.19,-0.07,-0.093,0.03
40,白电转债,113549,2023-10-27 10:11,126.173,126.131,126.213,126.06,474,597815.0,0.12,0.05,0.058,0.06
41,白电转债,113549,2023-10-27 10:12,126.131,126.102,126.137,126.062,444,559926.0,0.06,-0.02,-0.029,0.06
42,白电转债,113549,2023-10-27 10:13,126.173,125.945,126.173,125.912,404,509217.0,0.21,-0.12,-0.157,0.05
43,白电转债,113549,2023-10-27 10:14,126.013,126.066,126.109,125.96,644,811683.0,0.12,0.1,0.121,0.08
44,白电转债,113549,2023-10-27 10:15,126.051,126.04,126.068,125.983,328,413394.0,0.07,-0.02,-0.026,0.04
45,白电转债,113549,2023-10-27 10:16,126.002,126.185,126.185,126.002,487,614014.0,0.15,0.12,0.145,0.06
