,债券代码,债券名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
68,128041,盛路转债,0.51,334.0,338.729,329.1,329.656,1.685,136.68,1.74,-,72249,242444851.668,332.315,176550396,176550396,0.128041,深A,2023-07-21 15:34:51,2023-07-21
69,128130,景兴转债,0.51,119.04,119.2,118.23,118.357,0.6,1.67,0.94,-,16661,19804564.209,118.44,1188732964,1188732964,0.128130,深A,2023-07-21 15:34:30,2023-07-21
70,127073,天赐转债,0.51,119.527,119.611,118.4,118.722,0.602,0.36,0.5,-,12442,14836854.306,118.925,4076114296,4076114296,0.127073,深A,2023-07-21 15:34:30,2023-07-21
71,128074,游族转债,0.5,130.25,132.27,129.289,129.289,0.65,11.4,0.58,-,77765,101584598.62,129.6,888645734,888645734,0.128074,深A,2023-07-21 15:34:27,2023-07-21
72,113542,好客转债,0.5,114.173,114.249,113.66,113.99,0.563,0.95,0.92,-,5737,6544741.0,113.61,688030474,688030474,1.113542,沪A,2023-07-21 16:11:22,2023-07-21
73,113589,天创转债,0.49,98.216,98.45,97.69,97.69,0.483,0.66,0.86,-,3941,3863792.0,97.733,588804920,588804920,1.113589,沪A,2023-07-21 16:11:22,2023-07-21
74,123091,长海转债,0.49,124.306,124.843,123.125,123.755,0.606,0.58,0.65,-,3214,3996158.15,123.7,683368382,683368382,0.123091,深A,2023-07-21 15:34:18,2023-07-21
75,113602,景20转债,0.48,126.8,126.84,125.204,125.933,0.6,1.98,1.24,-,35303,44477047.0,126.2,2256867552,2256867552,1.113602,沪A,2023-07-21 16:11:04,2023-07-21
76,113666,爱玛转债,0.47,128.211,129.6,126.811,127.49,0.605,3.99,3.99,-,79701,102492040.0,127.606,2564220000,2564220000,1.113666,沪A,2023-07-21 16:12:01,2023-07-21
77,123172,漱玉转债,0.46,122.937,123.759,121.755,122.222,0.56,5.44,1.56,-,43524,53526339.324,122.377,983490591,983490591,0.123172,深A,2023-07-21 15:34:54,2023-07-21
78,127058,科伦转债,0.45,180.808,183.985,179.118,180.07,0.808,4.76,1.93,-,96865,175855725.239,180.0,3677885139,3677885139,0.127058,深A,2023-07-21 15:34:42,2023-07-21
79,127085,韵达转债,0.45,121.057,121.325,120.261,120.521,0.537,0.31,0.53,-,7566,9134601.778,120.52,2965896500,2965896500,0.127085,深A,2023-07-21 15:35:00,2023-07-21
80,123130,设研转债,0.44,132.581,133.88,131.531,131.75,0.581,9.37,1.46,-,35196,46601483.46,132.0,497874137,497874137,0.123130,深A,2023-07-21 15:34:42,2023-07-21
81,118019,金盘转债,0.43,136.917,138.003,135.211,136.1,0.587,6.16,0.31,-,60188,82362142.0,136.33,1337240956,1337240956,1.118019,沪A,2023-07-21 16:11:19,2023-07-21
