,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,丽岛转债,113680,2023-12-22 09:31,169.936,170.298,170.59,169.707,3094,5263015.0,0.52,0.33,0.561,1.03
1,丽岛转债,113680,2023-12-22 09:32,170.253,169.802,170.298,169.8,749,1273466.0,0.29,-0.29,-0.496,0.25
2,丽岛转债,113680,2023-12-22 09:33,169.882,170.006,170.006,168.713,1313,2224123.0,0.76,0.12,0.204,0.44
3,丽岛转债,113680,2023-12-22 09:34,170.008,168.991,170.008,168.991,930,1577422.0,0.6,-0.6,-1.015,0.31
4,丽岛转债,113680,2023-12-22 09:35,168.896,168.136,168.896,168.0,734,1236418.0,0.53,-0.51,-0.855,0.24
5,丽岛转债,113680,2023-12-22 09:36,168.011,169.064,169.064,167.818,1171,1973270.0,0.74,0.55,0.928,0.39
6,丽岛转债,113680,2023-12-22 09:37,169.031,168.032,169.09,168.032,720,1215284.0,0.63,-0.61,-1.032,0.24
7,丽岛转债,113680,2023-12-22 09:38,168.035,169.035,169.035,167.853,1262,2124862.0,0.7,0.6,1.003,0.42
8,丽岛转债,113680,2023-12-22 09:39,168.794,170.361,170.361,168.648,1498,2544333.0,1.01,0.78,1.326,0.5
9,丽岛转债,113680,2023-12-22 09:40,169.908,170.205,170.418,169.908,1412,2403893.0,0.3,-0.09,-0.156,0.47
10,丽岛转债,113680,2023-12-22 09:41,170.204,171.208,171.326,170.204,2693,4600108.0,0.66,0.59,1.003,0.9
11,丽岛转债,113680,2023-12-22 09:42,171.282,170.56,171.282,170.559,1433,2448689.0,0.42,-0.38,-0.648,0.48
12,丽岛转债,113680,2023-12-22 09:43,170.386,171.399,171.399,170.291,1575,2692822.0,0.65,0.49,0.839,0.53
13,丽岛转债,113680,2023-12-22 09:44,171.401,170.248,171.498,169.823,1480,2525193.0,0.98,-0.67,-1.151,0.49
14,丽岛转债,113680,2023-12-22 09:45,170.086,169.986,170.17,169.65,808,1373297.0,0.31,-0.15,-0.262,0.27
15,丽岛转债,113680,2023-12-22 09:46,170.106,170.193,170.299,169.897,671,1141091.0,0.24,0.12,0.207,0.22
16,丽岛转债,113680,2023-12-22 09:47,170.178,169.905,170.208,169.842,531,903032.0,0.22,-0.17,-0.288,0.18
17,丽岛转债,113680,2023-12-22 09:48,169.905,170.632,170.783,169.905,499,849511.0,0.52,0.43,0.727,0.17
18,丽岛转债,113680,2023-12-22 09:49,170.78,170.542,170.8,170.197,751,1281072.0,0.35,-0.05,-0.09,0.25
