,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,九强转债,123150,2023-09-05 09:31,132.045,134.926,135.751,132.045,2931,3945908.0,2.81,2.37,3.126,0.26
1,九强转债,123150,2023-09-05 09:32,134.989,134.669,135.408,134.35,5465,7368886.0,0.78,-0.19,-0.257,0.49
2,九强转债,123150,2023-09-05 09:33,134.415,133.637,134.629,133.563,2590,3474208.0,0.79,-0.77,-1.032,0.23
3,九强转债,123150,2023-09-05 09:34,133.5,133.121,133.755,132.861,1776,2368576.0,0.67,-0.39,-0.516,0.16
4,九强转债,123150,2023-09-05 09:35,133.097,132.794,133.118,132.524,1029,1366918.0,0.45,-0.25,-0.327,0.09
5,九强转债,123150,2023-09-05 09:36,132.797,133.421,133.544,132.77,1839,2450377.0,0.58,0.47,0.627,0.16
6,九强转债,123150,2023-09-05 09:37,133.257,133.148,133.44,132.99,1611,2146776.0,0.34,-0.2,-0.273,0.14
7,九强转债,123150,2023-09-05 09:38,132.841,132.6,132.871,132.3,1129,1497101.0,0.43,-0.41,-0.548,0.1
8,九强转债,123150,2023-09-05 09:39,132.77,132.967,133.078,132.723,667,886860.0,0.27,0.28,0.367,0.06
9,九强转债,123150,2023-09-05 09:40,133.036,133.151,133.198,132.979,1349,1794947.0,0.16,0.14,0.184,0.12
10,九强转债,123150,2023-09-05 09:41,133.06,133.518,133.707,133.06,1690,2254844.0,0.49,0.28,0.367,0.15
11,九强转债,123150,2023-09-05 09:42,133.66,133.844,133.844,133.622,885,1183541.0,0.17,0.24,0.326,0.08
12,九强转债,123150,2023-09-05 09:43,133.847,133.689,134.181,133.539,1607,2152015.0,0.48,-0.12,-0.155,0.14
13,九强转债,123150,2023-09-05 09:44,133.542,133.251,133.595,133.2,327,436346.0,0.3,-0.33,-0.438,0.03
14,九强转债,123150,2023-09-05 09:45,133.335,133.137,133.431,133.136,475,633085.0,0.22,-0.09,-0.114,0.04
15,九强转债,123150,2023-09-05 09:46,133.136,133.3,133.44,133.136,454,605335.0,0.23,0.12,0.163,0.04
16,九强转债,123150,2023-09-05 09:47,133.301,133.17,133.362,133.001,347,462205.0,0.27,-0.1,-0.13,0.03
17,九强转债,123150,2023-09-05 09:48,133.166,133.352,133.507,133.166,124,165335.0,0.26,0.14,0.182,0.01
18,九强转债,123150,2023-09-05 09:49,133.273,133.199,133.325,133.099,344,458501.0,0.17,-0.11,-0.153,0.03
19,九强转债,123150,2023-09-05 09:50,133.127,133.317,133.317,133.127,42,55926.0,0.14,0.09,0.118,0.0
20,九强转债,123150,2023-09-05 09:51,133.2,132.993,133.32,132.977,172,228935.0,0.26,-0.24,-0.324,0.02
21,九强转债,123150,2023-09-05 09:52,132.96,133.188,133.2,132.96,422,561824.0,0.18,0.15,0.195,0.04
22,九强转债,123150,2023-09-05 09:53,133.189,133.203,133.331,133.189,643,856700.0,0.11,0.01,0.015,0.06
23,九强转债,123150,2023-09-05 09:54,133.2,133.311,133.35,133.053,403,536973.0,0.22,0.08,0.108,0.04
24,九强转债,123150,2023-09-05 09:55,133.392,133.425,133.425,133.309,440,586776.0,0.09,0.09,0.114,0.04
25,九强转债,123150,2023-09-05 09:56,133.44,133.5,133.5,133.44,142,189509.0,0.04,0.06,0.075,0.01
26,九强转债,123150,2023-09-05 09:57,133.5,133.69,133.7,133.5,198,264475.0,0.15,0.14,0.19,0.02
27,九强转债,123150,2023-09-05 09:58,133.6,133.699,133.699,133.6,330,440942.0,0.07,0.01,0.009,0.03
28,九强转债,123150,2023-09-05 09:59,133.601,133.455,133.604,133.18,257,342818.0,0.32,-0.18,-0.244,0.02
29,九强转债,123150,2023-09-05 10:00,133.44,133.308,133.44,133.184,191,254641.0,0.19,-0.11,-0.147,0.02
30,九强转债,123150,2023-09-05 10:01,133.082,133.167,133.293,133.01,71,94542.0,0.21,-0.11,-0.141,0.01
31,九强转债,123150,2023-09-05 10:02,133.255,133.533,133.533,133.087,310,413217.0,0.33,0.27,0.366,0.03
32,九强转债,123150,2023-09-05 10:03,133.578,133.443,133.578,133.31,426,568368.0,0.2,-0.07,-0.09,0.04
33,九强转债,123150,2023-09-05 10:04,133.443,133.482,133.493,133.36,191,254848.0,0.1,0.03,0.039,0.02
34,九强转债,123150,2023-09-05 10:05,133.466,133.692,133.696,133.466,529,706991.0,0.17,0.16,0.21,0.05
35,九强转债,123150,2023-09-05 10:06,133.665,133.62,133.692,133.366,239,319739.0,0.24,-0.05,-0.072,0.02
36,九强转债,123150,2023-09-05 10:07,133.672,133.96,133.96,133.47,333,445452.0,0.37,0.25,0.34,0.03
37,九强转债,123150,2023-09-05 10:08,134.003,133.96,134.033,133.864,824,1103859.0,0.13,0.0,0.0,0.07
38,九强转债,123150,2023-09-05 10:09,133.96,133.873,134.023,133.62,660,883887.0,0.3,-0.06,-0.087,0.06
39,九强转债,123150,2023-09-05 10:10,133.867,133.53,133.867,133.53,247,330260.0,0.25,-0.26,-0.343,0.02
40,九强转债,123150,2023-09-05 10:11,133.533,133.62,133.62,133.46,91,121498.0,0.12,0.07,0.09,0.01
41,九强转债,123150,2023-09-05 10:12,133.7,133.706,133.843,133.7,151,202044.0,0.11,0.06,0.086,0.01
42,九强转债,123150,2023-09-05 10:13,133.707,133.97,133.97,133.707,793,1062354.0,0.2,0.2,0.264,0.07
43,九强转债,123150,2023-09-05 10:14,133.967,133.83,133.97,133.83,127,170080.0,0.1,-0.1,-0.14,0.01
44,九强转债,123150,2023-09-05 10:15,133.779,133.705,133.779,133.705,80,106995.0,0.06,-0.09,-0.125,0.01
45,九强转债,123150,2023-09-05 10:16,133.684,133.684,133.684,133.684,57,76199.0,0.0,-0.02,-0.021,0.01
46,九强转债,123150,2023-09-05 10:17,133.62,133.575,133.68,133.575,13,17370.0,0.08,-0.08,-0.109,0.0
47,九强转债,123150,2023-09-05 10:18,133.575,133.942,133.969,133.575,97,129772.0,0.29,0.27,0.367,0.01
48,九强转债,123150,2023-09-05 10:19,134.0,134.0,134.109,133.995,194,260411.0,0.09,0.04,0.058,0.02
49,九强转债,123150,2023-09-05 10:20,133.739,133.775,134.0,133.701,1668,2234098.0,0.22,-0.17,-0.225,0.15
50,九强转债,123150,2023-09-05 10:21,133.7,133.53,133.7,133.53,166,221837.0,0.13,-0.18,-0.245,0.01
51,九强转债,123150,2023-09-05 10:22,133.53,133.471,133.53,133.43,69,92112.0,0.07,-0.04,-0.059,0.01
52,九强转债,123150,2023-09-05 10:23,133.471,133.589,133.616,133.471,31,41408.0,0.11,0.09,0.118,0.0
53,九强转债,123150,2023-09-05 10:24,133.57,133.57,133.57,133.57,1,1335.0,0.0,-0.01,-0.019,0.0
54,九强转债,123150,2023-09-05 10:25,133.453,133.21,133.464,133.21,101,134714.0,0.19,-0.27,-0.36,0.01
55,九强转债,123150,2023-09-05 10:26,133.17,133.144,133.21,133.121,226,300882.0,0.07,-0.05,-0.066,0.02
56,九强转债,123150,2023-09-05 10:27,133.144,133.144,133.144,133.144,14,18640.0,0.0,0.0,0.0,0.0
57,九强转债,123150,2023-09-05 10:28,133.18,133.488,133.488,133.171,128,170698.0,0.24,0.26,0.344,0.01
58,九强转债,123150,2023-09-05 10:29,133.539,133.539,133.539,133.539,6,8012.0,0.0,0.04,0.051,0.0
59,九强转债,123150,2023-09-05 10:30,133.38,133.426,133.599,133.38,53,70769.0,0.16,-0.08,-0.113,0.0
60,九强转债,123150,2023-09-05 10:31,133.43,133.5,133.5,133.43,9,12010.0,0.05,0.06,0.074,0.0
61,九强转债,123150,2023-09-05 10:32,133.413,133.568,133.568,133.395,51,68095.0,0.13,0.05,0.068,0.0
62,九强转债,123150,2023-09-05 10:33,133.454,133.454,133.454,133.454,5,6674.0,0.0,-0.09,-0.114,0.0
63,九强转债,123150,2023-09-05 10:34,133.363,133.441,133.441,133.26,361,481858.0,0.14,-0.01,-0.013,0.03
64,九强转债,123150,2023-09-05 10:35,133.559,133.677,133.677,133.559,96,128221.0,0.09,0.18,0.236,0.01
65,九强转债,123150,2023-09-05 10:36,133.57,133.558,133.611,133.558,24,32056.0,0.04,-0.09,-0.119,0.0
66,九强转债,123150,2023-09-05 10:37,133.45,133.44,133.59,133.44,138,184345.0,0.11,-0.09,-0.118,0.01
67,九强转债,123150,2023-09-05 10:38,133.35,133.379,133.4,133.35,12,16006.0,0.04,-0.05,-0.061,0.0
68,九强转债,123150,2023-09-05 10:39,133.377,133.71,133.71,133.377,122,162953.0,0.25,0.25,0.331,0.01
69,九强转债,123150,2023-09-05 10:40,133.622,133.755,133.755,133.622,8,10694.0,0.1,0.03,0.045,0.0
70,九强转债,123150,2023-09-05 10:41,133.755,133.703,133.755,133.703,58,77574.0,0.04,-0.04,-0.052,0.01
71,九强转债,123150,2023-09-05 10:42,133.703,133.703,133.703,133.703,6,8022.0,0.0,0.0,0.0,0.0
72,九强转债,123150,2023-09-05 10:43,133.779,133.89,133.9,133.636,303,405369.0,0.2,0.14,0.187,0.03
73,九强转债,123150,2023-09-05 10:44,133.728,133.641,133.728,133.641,22,29419.0,0.06,-0.19,-0.249,0.0
74,九强转债,123150,2023-09-05 10:45,133.588,133.533,133.588,133.533,101,134963.0,0.04,-0.08,-0.108,0.01
75,九强转债,123150,2023-09-05 10:46,133.535,133.53,133.535,133.53,19,25372.0,0.0,0.0,-0.003,0.0
76,九强转债,123150,2023-09-05 10:47,133.443,133.44,133.443,133.44,5,6672.0,0.0,-0.07,-0.09,0.0
77,九强转债,123150,2023-09-05 10:48,133.36,133.587,133.587,133.36,24,32019.0,0.17,0.11,0.147,0.0
