,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,华亚转债,127079,2023-11-14 09:31,134.752,134.8,135.29,134.657,222,299174.0,0.47,-0.17,-0.227,0.07
1,华亚转债,127079,2023-11-14 09:32,134.8,134.846,134.922,134.8,98,132189.0,0.09,0.03,0.046,0.03
2,华亚转债,127079,2023-11-14 09:33,134.906,135.465,135.465,134.846,98,132353.0,0.46,0.46,0.619,0.03
3,华亚转债,127079,2023-11-14 09:34,135.462,134.983,135.462,134.983,48,64910.0,0.35,-0.36,-0.482,0.01
4,华亚转债,127079,2023-11-14 09:35,135.133,135.04,135.309,135.04,127,171630.0,0.2,0.04,0.057,0.04
5,华亚转债,127079,2023-11-14 09:36,135.031,135.126,135.126,135.031,116,156636.0,0.07,0.06,0.086,0.03
6,华亚转债,127079,2023-11-14 09:37,135.0,135.057,135.122,135.0,46,62116.0,0.09,-0.05,-0.069,0.01
7,华亚转债,127079,2023-11-14 09:38,135.119,135.192,135.302,135.112,54,72967.0,0.14,0.1,0.135,0.02
8,华亚转债,127079,2023-11-14 09:39,135.192,135.292,135.292,135.192,9,12168.0,0.07,0.07,0.1,0.0
9,华亚转债,127079,2023-11-14 09:40,135.124,135.126,135.354,135.124,52,70354.0,0.17,-0.12,-0.166,0.02
10,华亚转债,127079,2023-11-14 09:41,135.371,135.44,135.44,135.135,64,86597.0,0.23,0.23,0.314,0.02
11,华亚转债,127079,2023-11-14 09:42,135.334,135.2,135.334,135.2,12,16227.0,0.1,-0.18,-0.24,0.0
12,华亚转债,127079,2023-11-14 09:43,135.225,135.196,135.225,135.141,36,48662.0,0.06,0.0,-0.004,0.01
13,华亚转债,127079,2023-11-14 09:44,135.323,135.45,135.45,135.261,42,56849.0,0.14,0.19,0.254,0.01
14,华亚转债,127079,2023-11-14 09:45,135.449,135.451,135.5,135.303,191,258689.0,0.15,0.0,0.001,0.06
15,华亚转债,127079,2023-11-14 09:46,135.555,135.412,135.555,135.412,39,52817.0,0.11,-0.03,-0.039,0.01
16,华亚转债,127079,2023-11-14 09:47,135.339,135.302,135.339,135.302,22,29769.0,0.03,-0.08,-0.11,0.01
17,华亚转债,127079,2023-11-14 09:48,135.302,135.231,135.302,135.202,35,47332.0,0.07,-0.05,-0.071,0.01
18,华亚转债,127079,2023-11-14 09:49,135.143,135.092,135.143,135.092,43,58110.0,0.04,-0.1,-0.139,0.01
19,华亚转债,127079,2023-11-14 09:50,135.092,135.092,135.092,135.092,0,0.0,0.0,0.0,0.0,0.0
20,华亚转债,127079,2023-11-14 09:51,135.061,135.093,135.093,135.061,21,28366.0,0.02,0.0,0.001,0.01
21,华亚转债,127079,2023-11-14 09:52,135.178,135.178,135.178,135.178,3,4055.0,0.0,0.06,0.085,0.0
22,华亚转债,127079,2023-11-14 09:53,135.372,135.372,135.372,135.372,8,10829.0,0.0,0.14,0.194,0.0
23,华亚转债,127079,2023-11-14 09:54,135.372,135.372,135.372,135.372,0,0.0,0.0,0.0,0.0,0.0
24,华亚转债,127079,2023-11-14 09:55,135.226,135.1,135.226,135.1,36,48658.0,0.09,-0.2,-0.272,0.01
25,华亚转债,127079,2023-11-14 09:56,135.172,135.374,135.374,135.172,72,97433.0,0.15,0.2,0.274,0.02
26,华亚转债,127079,2023-11-14 09:57,135.45,135.405,135.478,135.405,56,75824.0,0.05,0.02,0.031,0.02
27,华亚转债,127079,2023-11-14 09:58,135.22,135.23,135.28,135.22,49,66273.0,0.04,-0.13,-0.175,0.01
28,华亚转债,127079,2023-11-14 09:59,135.394,135.394,135.394,135.394,18,24370.0,0.0,0.12,0.164,0.01
29,华亚转债,127079,2023-11-14 10:00,135.394,135.394,135.394,135.394,0,0.0,0.0,0.0,0.0,0.0
30,华亚转债,127079,2023-11-14 10:01,135.293,135.26,135.293,135.26,8,10822.0,0.02,-0.1,-0.134,0.0
31,华亚转债,127079,2023-11-14 10:02,135.34,135.344,135.344,135.24,56,75746.0,0.08,0.06,0.084,0.02
32,华亚转债,127079,2023-11-14 10:03,135.282,135.282,135.282,135.282,7,9469.0,0.0,-0.05,-0.062,0.0
33,华亚转债,127079,2023-11-14 10:04,135.201,135.201,135.201,135.201,30,40567.0,0.0,-0.06,-0.081,0.01
34,华亚转债,127079,2023-11-14 10:05,135.47,135.546,135.546,135.47,102,138158.0,0.06,0.26,0.345,0.03
35,华亚转债,127079,2023-11-14 10:06,135.55,135.492,135.55,135.441,16,21684.0,0.08,-0.04,-0.054,0.0
36,华亚转债,127079,2023-11-14 10:07,135.383,135.36,135.5,135.354,34,46043.0,0.11,-0.1,-0.132,0.01
37,华亚转债,127079,2023-11-14 10:08,135.35,135.33,135.378,135.33,12,16243.0,0.04,-0.02,-0.03,0.0
38,华亚转债,127079,2023-11-14 10:09,135.377,135.312,135.377,135.212,10,13534.0,0.12,-0.01,-0.018,0.0
39,华亚转债,127079,2023-11-14 10:10,135.228,135.26,135.3,135.228,19,26241.0,0.05,-0.04,-0.052,0.01
40,华亚转债,127079,2023-11-14 10:11,135.239,135.188,135.239,135.188,34,45968.0,0.04,-0.05,-0.072,0.01
41,华亚转债,127079,2023-11-14 10:12,135.262,135.1,135.262,135.1,10,13513.0,0.12,-0.07,-0.088,0.0
42,华亚转债,127079,2023-11-14 10:13,135.06,135.06,135.06,135.06,4,5402.0,0.0,-0.03,-0.04,0.0
43,华亚转债,127079,2023-11-14 10:14,135.076,135.076,135.076,135.076,1,1350.0,0.0,0.01,0.016,0.0
44,华亚转债,127079,2023-11-14 10:15,135.076,135.111,135.114,135.076,28,37828.0,0.03,0.03,0.035,0.01
45,华亚转债,127079,2023-11-14 10:16,135.037,135.002,135.037,135.002,27,36456.0,0.03,-0.08,-0.109,0.01
46,华亚转债,127079,2023-11-14 10:17,135.189,135.006,135.189,135.001,17,22952.0,0.14,0.0,0.004,0.01
47,华亚转债,127079,2023-11-14 10:18,135.0,135.0,135.0,135.0,58,78306.0,0.0,0.0,-0.006,0.02
48,华亚转债,127079,2023-11-14 10:19,135.063,135.094,135.094,135.063,21,28360.0,0.02,0.07,0.094,0.01
49,华亚转债,127079,2023-11-14 10:20,135.174,135.447,135.447,135.174,39,52719.0,0.2,0.26,0.353,0.01
50,华亚转债,127079,2023-11-14 10:21,135.447,135.447,135.447,135.447,0,0.0,0.0,0.0,0.0,0.0
51,华亚转债,127079,2023-11-14 10:22,135.034,135.034,135.034,135.034,28,37814.0,0.0,-0.3,-0.413,0.01
