,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,火炬转债,113582,2023-12-28 09:31,130.911,130.94,130.941,130.501,623,815170.0,0.34,0.02,0.029,0.15
1,火炬转债,113582,2023-12-28 09:32,130.93,131.105,131.187,130.93,122,159813.0,0.2,0.13,0.165,0.03
2,火炬转债,113582,2023-12-28 09:33,131.258,131.333,131.347,131.195,198,259911.0,0.12,0.17,0.228,0.05
3,火炬转债,113582,2023-12-28 09:34,131.317,131.22,131.365,131.2,27,35440.0,0.13,-0.09,-0.113,0.01
4,火炬转债,113582,2023-12-28 09:35,131.284,131.521,131.524,131.284,141,185290.0,0.18,0.23,0.301,0.03
5,火炬转债,113582,2023-12-28 09:36,131.509,131.239,131.644,131.15,357,469093.0,0.38,-0.21,-0.282,0.09
6,火炬转债,113582,2023-12-28 09:37,131.266,131.6,131.6,131.252,144,189265.0,0.27,0.28,0.361,0.03
7,火炬转债,113582,2023-12-28 09:38,131.6,131.711,131.715,131.56,186,244798.0,0.12,0.08,0.111,0.04
8,火炬转债,113582,2023-12-28 09:39,131.711,131.565,131.711,131.565,277,364489.0,0.11,-0.11,-0.146,0.07
9,火炬转债,113582,2023-12-28 09:40,131.614,131.57,131.716,131.384,271,356601.0,0.25,0.0,0.005,0.06
10,火炬转债,113582,2023-12-28 09:41,131.57,131.616,131.616,131.545,206,271034.0,0.05,0.03,0.046,0.05
11,火炬转债,113582,2023-12-28 09:42,131.547,131.652,131.652,131.54,96,126344.0,0.09,0.03,0.036,0.02
12,火炬转债,113582,2023-12-28 09:43,131.676,131.7,131.804,131.676,194,255545.0,0.1,0.04,0.048,0.05
13,火炬转债,113582,2023-12-28 09:44,131.785,131.857,131.857,131.656,108,142305.0,0.15,0.12,0.157,0.03
14,火炬转债,113582,2023-12-28 09:45,131.801,131.874,131.999,131.801,84,110787.0,0.15,0.01,0.017,0.02
15,火炬转债,113582,2023-12-28 09:46,132.0,131.842,132.11,131.716,184,242779.0,0.3,-0.02,-0.032,0.04
16,火炬转债,113582,2023-12-28 09:47,131.865,131.856,131.976,131.829,57,75176.0,0.11,0.01,0.014,0.01
17,火炬转债,113582,2023-12-28 09:48,131.92,131.727,131.92,131.7,142,187066.0,0.17,-0.1,-0.129,0.03
18,火炬转债,113582,2023-12-28 09:49,131.811,131.99,132.072,131.811,131,172892.0,0.2,0.2,0.263,0.03
19,火炬转债,113582,2023-12-28 09:50,131.995,132.07,132.07,131.964,47,62035.0,0.08,0.06,0.08,0.01
20,火炬转债,113582,2023-12-28 09:51,132.075,132.355,132.4,132.075,206,272391.0,0.25,0.22,0.285,0.05
21,火炬转债,113582,2023-12-28 09:52,132.36,132.136,132.467,132.136,134,177314.0,0.25,-0.17,-0.219,0.03
22,火炬转债,113582,2023-12-28 09:53,132.142,132.304,132.304,132.08,191,252464.0,0.17,0.13,0.168,0.05
23,火炬转债,113582,2023-12-28 09:54,132.304,132.359,132.359,132.304,85,112472.0,0.04,0.04,0.055,0.02
24,火炬转债,113582,2023-12-28 09:55,132.42,132.45,132.5,132.364,201,266188.0,0.1,0.07,0.091,0.05
25,火炬转债,113582,2023-12-28 09:56,132.5,132.538,132.592,132.5,77,102056.0,0.07,0.07,0.088,0.02
26,火炬转债,113582,2023-12-28 09:57,132.487,132.759,132.796,132.487,321,425758.0,0.23,0.17,0.221,0.08
27,火炬转债,113582,2023-12-28 09:58,132.707,132.6,132.788,132.6,219,290606.0,0.14,-0.12,-0.159,0.05
28,火炬转债,113582,2023-12-28 09:59,132.681,132.723,132.723,132.565,97,128668.0,0.12,0.09,0.123,0.02
29,火炬转债,113582,2023-12-28 10:00,132.727,132.611,132.775,132.611,98,130068.0,0.12,-0.08,-0.112,0.02
30,火炬转债,113582,2023-12-28 10:01,132.717,132.606,132.725,132.606,69,91537.0,0.09,0.0,-0.005,0.02
31,火炬转债,113582,2023-12-28 10:02,132.684,132.74,132.74,132.617,49,65014.0,0.09,0.1,0.134,0.01
32,火炬转债,113582,2023-12-28 10:03,132.74,132.683,132.74,132.683,56,74334.0,0.04,-0.04,-0.057,0.01
33,火炬转债,113582,2023-12-28 10:04,132.683,132.554,132.683,132.554,67,88838.0,0.1,-0.1,-0.129,0.02
34,火炬转债,113582,2023-12-28 10:05,132.537,132.45,132.537,132.45,156,206639.0,0.07,-0.08,-0.104,0.04
35,火炬转债,113582,2023-12-28 10:06,132.445,132.455,132.455,132.359,180,238307.0,0.07,0.0,0.005,0.04
36,火炬转债,113582,2023-12-28 10:07,132.477,132.446,132.531,132.365,404,534872.0,0.13,-0.01,-0.009,0.1
37,火炬转债,113582,2023-12-28 10:08,132.507,132.607,132.66,132.507,65,86203.0,0.12,0.12,0.161,0.02
38,火炬转债,113582,2023-12-28 10:09,132.788,132.819,133.0,132.72,750,996708.0,0.21,0.16,0.212,0.18
39,火炬转债,113582,2023-12-28 10:10,132.709,132.752,132.797,132.709,15,19916.0,0.07,-0.05,-0.067,0.0
40,火炬转债,113582,2023-12-28 10:11,132.808,132.701,132.83,132.676,100,132729.0,0.12,-0.04,-0.051,0.02
41,火炬转债,113582,2023-12-28 10:12,132.568,132.622,132.622,132.539,220,291756.0,0.06,-0.06,-0.079,0.05
42,火炬转债,113582,2023-12-28 10:13,132.687,133.187,133.187,132.677,366,486803.0,0.38,0.43,0.565,0.09
43,火炬转债,113582,2023-12-28 10:14,133.175,133.17,133.23,133.088,135,179724.0,0.11,-0.01,-0.017,0.03
44,火炬转债,113582,2023-12-28 10:15,133.218,133.126,133.248,133.1,130,173138.0,0.11,-0.03,-0.044,0.03
45,火炬转债,113582,2023-12-28 10:16,133.126,133.245,133.4,133.126,439,585019.0,0.21,0.09,0.119,0.11
46,火炬转债,113582,2023-12-28 10:17,133.3,133.5,133.5,133.3,148,197485.0,0.15,0.19,0.255,0.04
47,火炬转债,113582,2023-12-28 10:18,133.5,133.574,133.6,133.355,570,760899.0,0.18,0.06,0.074,0.14
48,火炬转债,113582,2023-12-28 10:19,133.567,133.92,134.077,133.555,1231,1648067.0,0.39,0.26,0.346,0.3
49,火炬转债,113582,2023-12-28 10:20,133.919,133.505,133.919,133.501,166,221954.0,0.31,-0.31,-0.415,0.04
50,火炬转债,113582,2023-12-28 10:21,133.555,133.873,133.877,133.454,277,370213.0,0.32,0.28,0.368,0.07
51,火炬转债,113582,2023-12-28 10:22,133.786,133.733,133.873,133.721,172,230119.0,0.11,-0.1,-0.14,0.04
52,火炬转债,113582,2023-12-28 10:23,133.743,133.8,133.8,133.578,130,173825.0,0.17,0.05,0.067,0.03
53,火炬转债,113582,2023-12-28 10:24,133.8,133.976,134.076,133.779,351,470074.0,0.22,0.13,0.176,0.08
54,火炬转债,113582,2023-12-28 10:25,133.906,134.004,134.004,133.9,187,250426.0,0.08,0.02,0.028,0.04
55,火炬转债,113582,2023-12-28 10:26,133.965,134.067,134.14,133.965,130,174238.0,0.13,0.05,0.063,0.03
56,火炬转债,113582,2023-12-28 10:27,134.146,134.071,134.2,133.906,307,411710.0,0.22,0.0,0.004,0.07
57,火炬转债,113582,2023-12-28 10:28,134.221,134.947,135.281,134.148,2546,3431680.0,0.85,0.65,0.876,0.61
58,火炬转债,113582,2023-12-28 10:29,135.048,134.741,135.048,134.469,1104,1489546.0,0.43,-0.15,-0.206,0.26
59,火炬转债,113582,2023-12-28 10:30,134.74,134.628,134.8,134.573,291,392010.0,0.17,-0.08,-0.113,0.07
60,火炬转债,113582,2023-12-28 10:31,134.59,134.876,134.876,134.57,653,879773.0,0.23,0.18,0.248,0.16
61,火炬转债,113582,2023-12-28 10:32,134.823,134.874,134.942,134.747,589,794440.0,0.14,0.0,-0.002,0.14
62,火炬转债,113582,2023-12-28 10:33,134.859,134.806,134.887,134.685,160,215696.0,0.15,-0.05,-0.068,0.04
63,火炬转债,113582,2023-12-28 10:34,134.696,134.747,134.8,134.646,474,638735.0,0.11,-0.04,-0.059,0.11
64,火炬转债,113582,2023-12-28 10:35,134.724,134.534,134.742,134.534,601,809260.0,0.15,-0.16,-0.213,0.14
65,火炬转债,113582,2023-12-28 10:36,134.469,134.472,134.6,134.39,462,621576.0,0.16,-0.05,-0.062,0.11
66,火炬转债,113582,2023-12-28 10:37,134.554,134.462,134.554,134.31,256,344175.0,0.18,-0.01,-0.01,0.06
67,火炬转债,113582,2023-12-28 10:38,134.461,134.339,134.461,134.291,237,318436.0,0.13,-0.09,-0.123,0.06
68,火炬转债,113582,2023-12-28 10:39,134.328,134.454,134.462,134.328,377,506574.0,0.1,0.09,0.115,0.09
69,火炬转债,113582,2023-12-28 10:40,134.493,134.391,134.5,134.332,145,194948.0,0.12,-0.05,-0.063,0.03
70,火炬转债,113582,2023-12-28 10:41,134.4,134.35,134.4,134.316,153,205504.0,0.06,-0.03,-0.041,0.04
71,火炬转债,113582,2023-12-28 10:42,134.316,134.373,134.373,134.295,297,398926.0,0.06,0.02,0.023,0.07
72,火炬转债,113582,2023-12-28 10:43,134.308,134.449,134.449,134.162,265,355775.0,0.21,0.06,0.076,0.06
73,火炬转债,113582,2023-12-28 10:44,134.568,134.501,134.663,134.463,423,569115.0,0.15,0.04,0.052,0.1
