,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,丝路转债,123138,2023-12-15 09:31,131.95,132.713,133.142,131.95,1059,1405208.0,0.9,0.62,0.824,0.44
1,丝路转债,123138,2023-12-15 09:32,132.556,132.232,132.675,132.23,698,924471.0,0.34,-0.36,-0.481,0.29
2,丝路转债,123138,2023-12-15 09:33,132.162,132.19,132.47,132.019,816,1078767.0,0.34,-0.03,-0.042,0.34
3,丝路转债,123138,2023-12-15 09:34,132.19,132.264,132.494,132.139,277,366346.0,0.27,0.06,0.074,0.12
4,丝路转债,123138,2023-12-15 09:35,132.125,132.229,132.24,132.125,128,169207.0,0.09,-0.03,-0.035,0.05
5,丝路转债,123138,2023-12-15 09:36,132.067,131.934,132.149,131.733,352,464478.0,0.31,-0.22,-0.295,0.15
6,丝路转债,123138,2023-12-15 09:37,131.804,132.034,132.084,131.804,302,398585.0,0.21,0.08,0.1,0.13
7,丝路转债,123138,2023-12-15 09:38,132.052,131.925,132.052,131.925,17,22446.0,0.1,-0.08,-0.109,0.01
8,丝路转债,123138,2023-12-15 09:39,131.849,131.717,131.925,131.7,159,209518.0,0.17,-0.16,-0.208,0.07
9,丝路转债,123138,2023-12-15 09:40,131.812,131.721,131.882,131.718,38,50089.0,0.12,0.0,0.004,0.02
10,丝路转债,123138,2023-12-15 09:41,131.757,131.722,131.85,131.722,51,67212.0,0.1,0.0,0.001,0.02
11,丝路转债,123138,2023-12-15 09:42,131.85,131.717,131.85,131.571,123,161973.0,0.21,0.0,-0.005,0.05
12,丝路转债,123138,2023-12-15 09:43,131.575,131.535,131.686,131.535,73,96069.0,0.11,-0.14,-0.182,0.03
13,丝路转债,123138,2023-12-15 09:44,131.562,131.423,131.602,131.341,251,330076.0,0.2,-0.09,-0.112,0.1
14,丝路转债,123138,2023-12-15 09:45,131.423,131.816,131.816,131.423,42,55245.0,0.3,0.3,0.393,0.02
15,丝路转债,123138,2023-12-15 09:46,131.798,131.547,131.798,131.547,29,38175.0,0.19,-0.2,-0.269,0.01
16,丝路转债,123138,2023-12-15 09:47,131.401,131.754,131.754,131.401,41,53956.0,0.27,0.16,0.207,0.02
17,丝路转债,123138,2023-12-15 09:48,131.751,131.62,131.751,131.62,32,42148.0,0.1,-0.1,-0.134,0.01
18,丝路转债,123138,2023-12-15 09:49,131.62,131.5,131.675,131.5,26,34217.0,0.13,-0.09,-0.12,0.01
19,丝路转债,123138,2023-12-15 09:50,131.5,131.42,131.5,131.194,136,178747.0,0.23,-0.06,-0.08,0.06
20,丝路转债,123138,2023-12-15 09:51,131.46,131.508,131.545,131.46,182,239387.0,0.06,0.07,0.088,0.08
21,丝路转债,123138,2023-12-15 09:52,131.508,131.598,131.598,131.466,17,22356.0,0.1,0.07,0.09,0.01
22,丝路转债,123138,2023-12-15 09:53,131.603,131.519,131.671,131.5,58,76294.0,0.13,-0.06,-0.079,0.02
23,丝路转债,123138,2023-12-15 09:54,131.541,131.794,131.794,131.541,80,105345.0,0.19,0.21,0.275,0.03
24,丝路转债,123138,2023-12-15 09:55,131.569,131.569,131.569,131.569,24,31576.0,0.0,-0.17,-0.225,0.01
25,丝路转债,123138,2023-12-15 09:56,131.589,131.389,131.589,131.389,85,111792.0,0.15,-0.14,-0.18,0.04
