,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,珀莱转债,113634,2023-08-31 09:31,139.0,138.399,139.3,137.254,1874,2594393.0,1.47,-0.53,-0.734,0.25
1,珀莱转债,113634,2023-08-31 09:32,138.542,137.906,138.581,137.9,481,665036.0,0.49,-0.36,-0.493,0.06
2,珀莱转债,113634,2023-08-31 09:33,137.722,138.002,138.135,137.722,482,665138.0,0.3,0.07,0.096,0.06
3,珀莱转债,113634,2023-08-31 09:34,137.866,138.233,138.362,137.843,594,820348.0,0.38,0.17,0.231,0.08
4,珀莱转债,113634,2023-08-31 09:35,138.133,138.398,138.426,138.094,396,547659.0,0.24,0.12,0.165,0.05
5,珀莱转债,113634,2023-08-31 09:36,138.292,138.423,138.433,138.147,398,550375.0,0.21,0.02,0.025,0.05
6,珀莱转债,113634,2023-08-31 09:37,138.398,138.594,138.68,138.398,420,581830.0,0.2,0.12,0.171,0.06
7,珀莱转债,113634,2023-08-31 09:38,138.503,138.968,138.968,138.503,396,549415.0,0.34,0.27,0.374,0.05
8,珀莱转债,113634,2023-08-31 09:39,139.033,139.004,139.219,138.891,630,875980.0,0.24,0.03,0.036,0.08
9,珀莱转债,113634,2023-08-31 09:40,138.957,139.257,139.257,138.957,173,240668.0,0.22,0.18,0.253,0.02
10,珀莱转债,113634,2023-08-31 09:41,139.138,138.794,139.138,138.791,281,390574.0,0.25,-0.33,-0.463,0.04
11,珀莱转债,113634,2023-08-31 09:42,138.794,138.955,139.092,138.794,428,594626.0,0.21,0.12,0.161,0.06
12,珀莱转债,113634,2023-08-31 09:43,138.955,138.867,138.983,138.835,250,347259.0,0.11,-0.06,-0.088,0.03
13,珀莱转债,113634,2023-08-31 09:44,138.867,138.76,138.867,138.76,187,259578.0,0.08,-0.08,-0.107,0.02
14,珀莱转债,113634,2023-08-31 09:45,138.76,138.912,139.0,138.76,223,309740.0,0.17,0.11,0.152,0.03
15,珀莱转债,113634,2023-08-31 09:46,138.846,138.927,138.947,138.715,269,373482.0,0.17,0.01,0.015,0.04
16,珀莱转债,113634,2023-08-31 09:47,139.047,139.186,139.188,138.962,121,168328.0,0.16,0.19,0.259,0.02
17,珀莱转债,113634,2023-08-31 09:48,139.199,139.391,139.422,139.199,376,523572.0,0.16,0.15,0.205,0.05
18,珀莱转债,113634,2023-08-31 09:49,139.385,139.377,139.502,139.265,381,531036.0,0.17,-0.01,-0.014,0.05
19,珀莱转债,113634,2023-08-31 09:50,139.377,139.47,139.532,139.331,306,426596.0,0.14,0.07,0.093,0.04
20,珀莱转债,113634,2023-08-31 09:51,139.535,139.708,139.779,139.343,2336,3259965.0,0.31,0.17,0.238,0.31
21,珀莱转债,113634,2023-08-31 09:52,139.701,139.764,139.764,139.501,283,395140.0,0.19,0.04,0.056,0.04
22,珀莱转债,113634,2023-08-31 09:53,139.662,140.081,140.084,139.662,1544,2160998.0,0.3,0.23,0.317,0.21
23,珀莱转债,113634,2023-08-31 09:54,139.872,140.103,140.103,139.772,952,1332687.0,0.24,0.02,0.022,0.13
24,珀莱转债,113634,2023-08-31 09:55,140.103,140.099,140.197,139.965,216,302572.0,0.17,0.0,-0.004,0.03
25,珀莱转债,113634,2023-08-31 09:56,140.164,140.27,140.298,139.972,373,522493.0,0.23,0.12,0.171,0.05
26,珀莱转债,113634,2023-08-31 09:57,140.27,140.088,140.27,140.057,275,385594.0,0.15,-0.13,-0.182,0.04
27,珀莱转债,113634,2023-08-31 09:58,140.125,140.041,140.223,140.0,409,573017.0,0.16,-0.03,-0.047,0.05
28,珀莱转债,113634,2023-08-31 09:59,140.073,140.058,140.186,139.915,1252,1753048.0,0.19,0.01,0.017,0.17
29,珀莱转债,113634,2023-08-31 10:00,140.06,140.248,140.248,139.924,261,365521.0,0.23,0.14,0.19,0.03
30,珀莱转债,113634,2023-08-31 10:01,140.288,139.83,140.288,139.671,1041,1455038.0,0.44,-0.3,-0.418,0.14
31,珀莱转债,113634,2023-08-31 10:02,139.844,140.0,140.0,139.815,1336,1868922.0,0.13,0.12,0.17,0.18
32,珀莱转债,113634,2023-08-31 10:03,139.811,139.946,140.0,139.684,1150,1608002.0,0.23,-0.04,-0.054,0.15
33,珀莱转债,113634,2023-08-31 10:04,139.985,140.281,140.3,139.962,615,862367.0,0.24,0.24,0.335,0.08
34,珀莱转债,113634,2023-08-31 10:05,140.144,140.133,140.219,140.0,227,318011.0,0.16,-0.11,-0.148,0.03
35,珀莱转债,113634,2023-08-31 10:06,140.175,140.04,140.175,139.92,461,645828.0,0.18,-0.07,-0.093,0.06
36,珀莱转债,113634,2023-08-31 10:07,140.057,140.043,140.057,139.881,241,337230.0,0.13,0.0,0.003,0.03
37,珀莱转债,113634,2023-08-31 10:08,139.977,140.174,140.3,139.977,364,510067.0,0.23,0.09,0.131,0.05
38,珀莱转债,113634,2023-08-31 10:09,140.105,140.14,140.159,139.981,314,439751.0,0.13,-0.02,-0.034,0.04
39,珀莱转债,113634,2023-08-31 10:10,140.024,139.939,140.024,139.805,151,211305.0,0.16,-0.14,-0.201,0.02
40,珀莱转债,113634,2023-08-31 10:11,139.893,139.93,139.93,139.848,250,349734.0,0.06,-0.01,-0.009,0.03
41,珀莱转债,113634,2023-08-31 10:12,139.962,140.319,140.32,139.962,626,877155.0,0.26,0.28,0.389,0.08
42,珀莱转债,113634,2023-08-31 10:13,140.304,140.741,140.752,140.304,369,518323.0,0.32,0.3,0.422,0.05
43,珀莱转债,113634,2023-08-31 10:14,140.75,140.523,140.75,140.464,951,1336311.0,0.2,-0.15,-0.218,0.13
44,珀莱转债,113634,2023-08-31 10:15,140.532,140.404,140.532,140.404,89,125042.0,0.09,-0.08,-0.119,0.01
45,珀莱转债,113634,2023-08-31 10:16,140.38,140.197,140.38,140.197,61,85582.0,0.13,-0.15,-0.207,0.01
46,珀莱转债,113634,2023-08-31 10:17,140.388,140.277,140.388,140.277,409,574134.0,0.08,0.06,0.08,0.05
47,珀莱转债,113634,2023-08-31 10:18,140.258,140.38,140.435,140.258,382,536240.0,0.13,0.07,0.103,0.05
48,珀莱转债,113634,2023-08-31 10:19,140.38,140.34,140.408,140.302,211,296198.0,0.08,-0.03,-0.04,0.03
49,珀莱转债,113634,2023-08-31 10:20,140.312,140.244,140.312,140.123,107,150017.0,0.13,-0.07,-0.096,0.01
50,珀莱转债,113634,2023-08-31 10:21,140.245,140.36,140.36,140.245,65,91227.0,0.08,0.08,0.116,0.01
51,珀莱转债,113634,2023-08-31 10:22,140.245,140.532,140.532,140.245,195,273681.0,0.2,0.12,0.172,0.03
52,珀莱转债,113634,2023-08-31 10:23,140.532,140.654,140.706,140.532,337,473927.0,0.12,0.09,0.122,0.04
