,债券名称,债券代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,九典转02,123223,2023-10-31 09:31,143.3,143.318,143.699,143.3,326,467592.0,0.28,0.22,0.317,0.09
1,九典转02,123223,2023-10-31 09:32,143.3,143.48,143.523,143.24,295,423156.0,0.2,0.11,0.162,0.08
2,九典转02,123223,2023-10-31 09:33,143.48,143.865,143.88,143.48,481,690917.0,0.28,0.27,0.385,0.13
3,九典转02,123223,2023-10-31 09:34,143.841,143.484,143.9,143.484,188,270272.0,0.29,-0.26,-0.381,0.05
4,九典转02,123223,2023-10-31 09:35,143.546,143.41,143.546,143.256,164,235244.0,0.2,-0.05,-0.074,0.05
5,九典转02,123223,2023-10-31 09:36,143.275,143.598,143.598,143.263,172,246785.0,0.23,0.13,0.188,0.05
6,九典转02,123223,2023-10-31 09:37,143.595,143.516,143.745,143.24,347,497927.0,0.35,-0.06,-0.082,0.1
7,九典转02,123223,2023-10-31 09:38,143.515,143.461,143.583,143.369,65,93253.0,0.15,-0.04,-0.055,0.02
8,九典转02,123223,2023-10-31 09:39,143.458,143.318,143.583,143.3,172,246729.0,0.2,-0.1,-0.143,0.05
9,九典转02,123223,2023-10-31 09:40,143.321,143.605,143.842,143.321,291,418029.0,0.36,0.2,0.287,0.08
10,九典转02,123223,2023-10-31 09:41,143.62,143.701,143.836,143.62,110,158136.0,0.15,0.07,0.096,0.03
11,九典转02,123223,2023-10-31 09:42,143.7,143.665,143.7,143.652,144,206831.0,0.03,-0.03,-0.036,0.04
12,九典转02,123223,2023-10-31 09:43,143.608,143.797,143.816,143.6,127,182461.0,0.15,0.09,0.132,0.04
13,九典转02,123223,2023-10-31 09:44,143.86,143.999,144.083,143.842,208,299330.0,0.17,0.14,0.202,0.06
14,九典转02,123223,2023-10-31 09:45,143.999,144.312,144.32,143.809,494,711737.0,0.35,0.22,0.313,0.14
15,九典转02,123223,2023-10-31 09:46,144.2,144.2,144.2,143.849,448,645561.0,0.24,-0.08,-0.112,0.12
16,九典转02,123223,2023-10-31 09:47,144.207,144.11,144.207,143.849,282,406001.0,0.25,-0.06,-0.09,0.08
17,九典转02,123223,2023-10-31 09:48,143.97,144.116,144.3,143.97,190,274156.0,0.23,0.0,0.006,0.05
18,九典转02,123223,2023-10-31 09:49,144.12,143.968,144.238,143.968,176,253614.0,0.19,-0.1,-0.148,0.05
19,九典转02,123223,2023-10-31 09:50,143.975,144.007,144.2,143.975,53,76385.0,0.16,0.03,0.039,0.01
20,九典转02,123223,2023-10-31 09:51,144.0,144.08,144.082,143.742,377,542873.0,0.24,0.05,0.073,0.1
21,九典转02,123223,2023-10-31 09:52,143.924,143.999,144.074,143.918,88,126708.0,0.11,-0.06,-0.081,0.02
22,九典转02,123223,2023-10-31 09:53,143.999,144.187,144.4,143.999,384,553836.0,0.28,0.13,0.188,0.11
23,九典转02,123223,2023-10-31 09:54,144.22,144.129,144.3,144.096,337,485983.0,0.14,-0.04,-0.058,0.09
24,九典转02,123223,2023-10-31 09:55,144.3,144.488,144.567,144.276,311,449159.0,0.2,0.25,0.359,0.09
25,九典转02,123223,2023-10-31 09:56,144.56,144.871,144.901,144.496,511,739537.0,0.28,0.27,0.383,0.14
26,九典转02,123223,2023-10-31 09:57,144.912,144.807,145.0,144.807,891,1290910.0,0.13,-0.04,-0.064,0.25
27,九典转02,123223,2023-10-31 09:58,144.829,144.508,144.829,144.508,218,315515.0,0.22,-0.21,-0.299,0.06
28,九典转02,123223,2023-10-31 09:59,144.512,144.596,144.637,144.479,572,826665.0,0.11,0.06,0.088,0.16
29,九典转02,123223,2023-10-31 10:00,144.594,144.5,144.6,144.453,206,298285.0,0.1,-0.07,-0.096,0.06
30,九典转02,123223,2023-10-31 10:01,144.5,144.37,144.566,144.37,58,83796.0,0.14,-0.09,-0.13,0.02
31,九典转02,123223,2023-10-31 10:02,144.47,144.402,144.47,144.276,221,319066.0,0.13,0.02,0.032,0.06
32,九典转02,123223,2023-10-31 10:03,144.377,144.257,144.403,144.158,43,62048.0,0.17,-0.1,-0.145,0.01
33,九典转02,123223,2023-10-31 10:04,144.22,144.318,144.318,144.097,304,438270.0,0.15,0.04,0.061,0.08
34,九典转02,123223,2023-10-31 10:05,144.138,144.232,144.321,144.138,138,199114.0,0.13,-0.06,-0.086,0.04
35,九典转02,123223,2023-10-31 10:06,144.162,144.0,144.289,143.912,283,408240.0,0.26,-0.16,-0.232,0.08
36,九典转02,123223,2023-10-31 10:07,144.0,144.142,144.16,144.0,168,242082.0,0.11,0.1,0.142,0.05
37,九典转02,123223,2023-10-31 10:08,144.16,144.287,144.287,144.079,66,95181.0,0.14,0.1,0.145,0.02
38,九典转02,123223,2023-10-31 10:09,144.25,144.124,144.251,144.124,47,67766.0,0.09,-0.11,-0.163,0.01
39,九典转02,123223,2023-10-31 10:10,144.131,144.0,144.137,144.0,101,145590.0,0.1,-0.09,-0.124,0.03
40,九典转02,123223,2023-10-31 10:11,144.0,144.0,144.001,143.9,239,343864.0,0.07,0.0,0.0,0.07
41,九典转02,123223,2023-10-31 10:12,144.0,143.906,144.001,143.906,100,143999.0,0.07,-0.07,-0.094,0.03
42,九典转02,123223,2023-10-31 10:13,144.0,144.169,144.175,144.0,195,280343.0,0.12,0.18,0.263,0.05
43,九典转02,123223,2023-10-31 10:14,144.173,144.398,144.4,144.173,234,337639.0,0.16,0.16,0.229,0.07
44,九典转02,123223,2023-10-31 10:15,144.398,144.549,144.56,144.39,231,333637.0,0.12,0.1,0.151,0.06
45,九典转02,123223,2023-10-31 10:16,144.545,144.395,144.553,144.395,170,245667.0,0.11,-0.11,-0.154,0.05
46,九典转02,123223,2023-10-31 10:17,144.407,144.272,144.407,144.174,433,624754.0,0.16,-0.09,-0.123,0.12
47,九典转02,123223,2023-10-31 10:18,144.171,144.17,144.272,144.17,32,46152.0,0.07,-0.07,-0.102,0.01
48,九典转02,123223,2023-10-31 10:19,144.172,144.29,144.29,144.172,147,212000.0,0.08,0.08,0.12,0.04
49,九典转02,123223,2023-10-31 10:20,144.27,144.576,144.658,144.27,412,594584.0,0.27,0.2,0.286,0.11
50,九典转02,123223,2023-10-31 10:21,144.656,144.719,144.874,144.522,375,542715.0,0.24,0.1,0.143,0.1
51,九典转02,123223,2023-10-31 10:22,144.652,144.54,144.658,144.5,104,150327.0,0.11,-0.12,-0.179,0.03
52,九典转02,123223,2023-10-31 10:23,144.5,144.78,144.78,144.5,151,218391.0,0.19,0.17,0.24,0.04
53,九典转02,123223,2023-10-31 10:24,144.694,144.65,144.835,144.492,1398,2021124.0,0.24,-0.09,-0.13,0.39
54,九典转02,123223,2023-10-31 10:25,144.648,144.552,144.7,144.552,92,133048.0,0.1,-0.07,-0.098,0.03
55,九典转02,123223,2023-10-31 10:26,144.551,144.402,144.552,144.4,302,436228.0,0.11,-0.1,-0.15,0.08
56,九典转02,123223,2023-10-31 10:27,144.405,144.203,144.463,144.203,392,565757.0,0.18,-0.14,-0.199,0.11
